"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",617,-,-,82,-,91,-,90,-,89,-,90,-,87,-,88,-
"0","0","世帯人員",2.92,-,-,2.75,-,2.83,-,2.72,-,2.76,-,3.09,-,2.82,-,3.48,-
"0","0","有業人員",1.38,-,-,1.24,-,1.27,-,1.19,-,1.47,-,1.40,-,1.42,-,1.68,-
"0","0","世帯主平均年齢",61.0,-,-,62.7,-,63.9,-,63.6,-,62.9,-,59.6,-,60.0,-,54.2,-
"0","0","消費支出",306814,-,3.4,94501,-,154636,-,206762,-,252846,-,302433,-,386775,-,745967,-
"0","0","公共的料金",84693,27.6,-6.3,21988,23.3,48132,31.1,61528,29.8,70149,27.7,80624,26.7,87994,22.8,221221,29.7
"1","0","公共料金等",54913,17.9,-11.7,18752,19.8,38499,24.9,49224,23.8,51789,20.5,58607,19.4,66564,17.2,100334,13.5
"1","1","米",1588,0.5,3.9,880,0.9,1481,1.0,1312,0.6,1820,0.7,1898,0.6,1947,0.5,1770,0.2
"1","1","食塩",32,0.0,18.5,31,0.0,28,0.0,27,0.0,34,0.0,16,0.0,57,0.0,31,0.0
"1","1","学校給食",355,0.1,-54.4,-,-,154,0.1,316,0.2,204,0.1,638,0.2,649,0.2,511,0.1
"1","1","公営家賃",506,0.2,-76.1,238,0.3,577,0.4,864,0.4,559,0.2,136,0.0,-,-,1161,0.2
"1","1","電気代",11735,3.8,-27.9,5484,5.8,9953,6.4,12586,6.1,11874,4.7,12514,4.1,12846,3.3,16774,2.2
"1","1","都市ガス",7900,2.6,-23.5,3876,4.1,6972,4.5,7100,3.4,7932,3.1,8589,2.8,9540,2.5,11233,1.5
"1","1","上下水道料",4862,1.6,-12.3,1913,2.0,5002,3.2,5077,2.5,5047,2.0,5952,2.0,4630,1.2,6356,0.9
"1","1","医科診療代",4064,1.3,-13.9,1407,1.5,2166,1.4,2847,1.4,4415,1.7,4120,1.4,4751,1.2,8704,1.2
"1","1","歯科診療代",3044,1.0,112.1,270,0.3,625,0.4,1552,0.8,853,0.3,2061,0.7,3166,0.8,12706,1.7
"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","1","他の入院料",1544,0.5,98.2,-,-,-,-,1180,0.6,393,0.2,1451,0.5,3192,0.8,4560,0.6
