"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,330,-,517,-,825,-,869,-,1002,-,1254,-,1078,-,4126,-,2476,-
"0","0","0","0","0","調査世帯数",611,-,21,-,29,-,49,-,52,-,64,-,76,-,64,-,256,-,157,-
"0","0","0","0","0","世帯人員",2.92,-,3.43,-,3.40,-,3.68,-,3.43,-,3.60,-,3.14,-,2.69,-,2.39,-,2.34,-
"0","0","0","0","0","有業人員",1.41,-,1.63,-,1.81,-,1.61,-,1.67,-,2.02,-,1.98,-,1.79,-,0.83,-,0.66,-
"0","0","0","0","0","世帯主平均年齢",61.2,-,32.0,-,37.4,-,42.3,-,47.0,-,52.4,-,56.8,-,61.7,-,76.5,-,81.0,-
"2","2","0","0","0","生計支出",339381,-,418615,-,495247,-,331520,-,403527,-,458783,-,385072,-,330508,-,261032,-,246959,-
"2","3","0","0","0","消費支出",339381,100.0,418615,100.0,495247,100.0,331520,100.0,403527,100.0,458783,100.0,385072,100.0,330508,100.0,261032,100.0,246959,100.0
"2","4","1","0","0","食料",98243,28.9,87823,21.0,103273,20.9,103985,31.4,105686,26.2,112814,24.6,107411,27.9,95617,28.9,90095,34.5,86393,35.0
"2","5","1","1","0","穀類",7670,2.3,6837,1.6,7359,1.5,7275,2.2,7866,1.9,8225,1.8,7491,1.9,7590,2.3,7755,3.0,7339,3.0
"2","6","1","1","1","米類",2011,0.6,1548,0.4,1003,0.2,1374,0.4,1660,0.4,2011,0.4,2468,0.6,2192,0.7,2190,0.8,2026,0.8
"2","6","1","1","2","パン",3388,1.0,3163,0.8,3666,0.7,3704,1.1,3627,0.9,3647,0.8,2661,0.7,3437,1.0,3403,1.3,3188,1.3
"2","6","1","1","3","麺類",1761,0.5,1274,0.3,1792,0.4,1788,0.5,1943,0.5,2083,0.5,1755,0.5,1593,0.5,1720,0.7,1702,0.7
"2","6","1","1","4","他の穀類",511,0.2,852,0.2,898,0.2,409,0.1,636,0.2,483,0.1,607,0.2,368,0.1,443,0.2,423,0.2
"2","5","1","2","0","魚介類",6566,1.9,3177,0.8,3449,0.7,4545,1.4,4600,1.1,6711,1.5,6929,1.8,6382,1.9,7948,3.0,8418,3.4
"2","6","1","2","1","生鮮魚介",3803,1.1,1917,0.5,1632,0.3,2685,0.8,2868,0.7,4246,0.9,4207,1.1,3742,1.1,4431,1.7,4671,1.9
"2","6","1","2","2","塩干魚介",1155,0.3,350,0.1,980,0.2,844,0.3,544,0.1,1002,0.2,1201,0.3,1086,0.3,1474,0.6,1498,0.6
"2","6","1","2","3","魚肉練製品",660,0.2,242,0.1,362,0.1,380,0.1,636,0.2,553,0.1,617,0.2,569,0.2,854,0.3,919,0.4
"2","6","1","2","4","他の魚介加工品",948,0.3,668,0.2,475,0.1,637,0.2,551,0.1,911,0.2,903,0.2,984,0.3,1189,0.5,1330,0.5
"2","5","1","3","0","肉類",8907,2.6,7678,1.8,8210,1.7,7833,2.4,10663,2.6,11554,2.5,11727,3.0,7767,2.4,7737,3.0,7618,3.1
"2","6","1","3","1","生鮮肉",7308,2.2,6402,1.5,6544,1.3,6507,2.0,8723,2.2,9885,2.2,9993,2.6,6510,2.0,6105,2.3,6023,2.4
"2","6","1","3","2","加工肉",1599,0.5,1275,0.3,1665,0.3,1326,0.4,1940,0.5,1669,0.4,1733,0.5,1257,0.4,1631,0.6,1595,0.6
