"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","35歳未満／実数（円）","35歳未満／構成比（％）","35～39歳／実数（円）","35～39歳／構成比（％）","40～44歳／実数（円）","40～44歳／構成比（％）","45～49歳／実数（円）","45～49歳／構成比（％）","50～54歳／実数（円）","50～54歳／構成比（％）","55～59歳／実数（円）","55～59歳／構成比（％）","60～64歳／実数（円）","60～64歳／構成比（％）","65歳以上／実数（円）","65歳以上／構成比（％）","（再掲）75歳以上／実数（円）","（再掲）75歳以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,296,-,679,-,899,-,757,-,1009,-,1239,-,1030,-,4091,-,2336,-
"0","0","0","0","0","調査世帯数",612,-,20,-,38,-,54,-,46,-,61,-,75,-,60,-,258,-,149,-
"0","0","0","0","0","世帯人員",2.93,-,3.41,-,3.48,-,3.72,-,3.42,-,3.52,-,3.10,-,2.70,-,2.39,-,2.34,-
"0","0","0","0","0","有業人員",1.39,-,1.70,-,1.66,-,1.54,-,1.80,-,2.13,-,1.89,-,1.70,-,0.81,-,0.60,-
"0","0","0","0","0","世帯主平均年齢",60.9,-,32.3,-,37.2,-,42.3,-,47.3,-,52.4,-,56.9,-,61.8,-,76.7,-,81.8,-
"2","2","0","0","0","生計支出",374244,-,342936,-,299501,-,380547,-,341393,-,708673,-,449337,-,330955,-,299317,-,278117,-
"2","3","0","0","0","消費支出",374244,100.0,342936,100.0,299501,100.0,380547,100.0,341393,100.0,708673,100.0,449337,100.0,330955,100.0,299317,100.0,278117,100.0
"2","4","1","0","0","食料",100476,26.8,103679,30.2,100757,33.6,112732,29.6,105261,30.8,115850,16.3,109889,24.5,95190,28.8,91309,30.5,85772,30.8
"2","5","1","1","0","穀類",7718,2.1,5941,1.7,7454,2.5,7096,1.9,7590,2.2,9209,1.3,7836,1.7,6886,2.1,7857,2.6,7365,2.6
"2","6","1","1","1","米類",1905,0.5,1112,0.3,1470,0.5,970,0.3,1640,0.5,2558,0.4,2260,0.5,1602,0.5,2098,0.7,2066,0.7
