"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","0","0","0","調査世帯数",612,-,-,81,-,88,-,93,-,93,-,89,-,87,-,81,-
"0","0","0","0","0","世帯人員",2.93,-,-,2.83,-,2.68,-,2.88,-,2.81,-,2.98,-,3.08,-,3.22,-
"0","0","0","0","0","有業人員",1.39,-,-,1.19,-,1.17,-,1.29,-,1.40,-,1.49,-,1.59,-,1.62,-
"0","0","0","0","0","世帯主平均年齢",60.9,-,-,63.4,-,66.0,-,63.2,-,58.3,-,61.2,-,56.9,-,57.8,-
"2","2","0","0","0","生計支出",374244,-,8.4,102873,-,166575,-,222528,-,288587,-,364538,-,475767,-,993716,-
"2","3","0","0","0","消費支出",374244,100.0,8.4,102873,100.0,166575,100.0,222528,100.0,288587,100.0,364538,100.0,475767,100.0,993716,100.0
"2","4","1","0","0","食料",100476,26.8,6.6,56555,55.0,71890,43.2,86370,38.8,101396,35.1,107512,29.5,129360,27.2,149667,15.1
"2","5","1","1","0","穀類",7718,2.1,6.2,5405,5.3,7019,4.2,7365,3.3,8090,2.8,8380,2.3,8644,1.8,9105,0.9
"2","6","1","1","1","米類",1905,0.5,12.7,1345,1.3,1746,1.0,2013,0.9,1939,0.7,1849,0.5,1985,0.4,2455,0.2
"2","6","1","1","2","パン",3568,1.0,2.1,2470,2.4,2907,1.7,3086,1.4,4109,1.4,3825,1.0,4137,0.9,4427,0.4
"2","6","1","1","3","麺類",1711,0.5,8.2,1303,1.3,1722,1.0,1803,0.8,1466,0.5,2155,0.6,1872,0.4,1655,0.2
"2","6","1","1","4","他の穀類",534,0.1,7.0,286,0.3,643,0.4,464,0.2,575,0.2,551,0.2,650,0.1,568,0.1
"2","5","1","2","0","魚介類",6869,1.8,7.0,4499,4.4,5451,3.3,6024,2.7,6404,2.2,7252,2.0,8663,1.8,9757,1.0
"2","6","1","2","1","生鮮魚介",3882,1.0,3.5,2556,2.5,3054,1.8,3379,1.5,3579,1.2,3913,1.1,5018,1.1,5655,0.6
"2","6","1","2","2","塩干魚介",1224,0.3,3.7,751,0.7,998,0.6,1001,0.4,1019,0.4,1420,0.4,1500,0.3,1872,0.2
"2","6","1","2","3","魚肉練製品",710,0.2,16.4,465,0.5,652,0.4,705,0.3,759,0.3,830,0.2,828,0.2,731,0.1
"2","6","1","2","4","他の魚介加工品",1053,0.3,19.4,727,0.7,746,0.4,940,0.4,1047,0.4,1089,0.3,1317,0.3,1500,0.2
"2","5","1","3","0","肉類",8659,2.3,0.6,5218,5.1,6518,3.9,8076,3.6,8460,2.9,9427,2.6,9732,2.0,13141,1.3
"2","6","1","3","1","生鮮肉",7168,1.9,1.9,4145,4.0,5402,3.2,6786,3.0,7003,2.4,7757,2.1,8084,1.7,10964,1.1
"2","6","1","3","2","加工肉",1491,0.4,-5.2,1073,1.0,1116,0.7,1290,0.6,1457,0.5,1670,0.5,1648,0.3,2177,0.2
"2","5","1","4","0","乳卵類",4849,1.3,5.9,3514,3.4,4067,2.4,4076,1.8,4414,1.5,5500,1.5,5141,1.1,7211,0.7
"2","6","1","4","1","牛乳",1388,0.4,2.7,1226,1.2,1344,0.8,1082,0.5,1346,0.5,1555,0.4,1427,0.3,1735,0.2
"2","6","1","4","2","乳製品",2522,0.7,14.9,1531,1.5,1957,1.2,2060,0.9,2208,0.8,2899,0.8,2800,0.6,4182,0.4
"2","6","1","4","3","卵",939,0.3,-9.2,758,0.7,766,0.5,934,0.4,861,0.3,1046,0.3,913,0.2,1294,0.1
"2","5","1","5","0","野菜・海藻",10521,2.8,6.3,7335,7.1,8991,5.4,10398,4.7,9750,3.4,11882,3.3,11441,2.4,13817,1.4
"2","6","1","5","1","生鮮野菜",7221,1.9,3.6,5052,4.9,6075,3.6,6951,3.1,6617,2.3,7941,2.2,8093,1.7,9795,1.0
