"項目","階層","項目名","都平均／実数（円）","都平均／負担率（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／負担率（％）","第2階層／実数（円）","第2階層／負担率（％）","第3階層／実数（円）","第3階層／負担率（％）","第4階層／実数（円）","第4階層／負担率（％）","第5階層／実数（円）","第5階層／負担率（％）","第6階層／実数（円）","第6階層／負担率（％）","第7階層／実数（円）","第7階層／負担率（％）"
"0","0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","0","調査世帯数",327,-,-,49,-,47,-,46,-,45,-,50,-,43,-,47,-
"0","0","世帯人員",3.25,-,-,3.16,-,3.07,-,3.46,-,3.04,-,3.29,-,3.48,-,3.27,-
"0","0","有業人員",1.86,-,-,1.61,-,1.88,-,1.64,-,1.90,-,1.97,-,1.94,-,2.10,-
"0","0","世帯主平均年齢",50.5,-,-,52.9,-,52.9,-,48.6,-,48.1,-,50.6,-,49.8,-,50.8,-
"0","0","消費支出",420628,-,10.8,238947,-,281653,-,338519,-,333248,-,520288,-,686857,-,542720,-
"0","0","公共的料金",93675,22.3,-14.6,59758,25.0,65237,23.2,80511,23.8,85084,25.5,89799,17.3,127796,18.6,146254,26.9
"1","0","公共料金等",62650,14.9,-13.0,39867,16.7,59812,21.2,67303,19.9,56257,16.9,58553,11.3,81861,11.9,74516,13.7
"1","1","米",1822,0.4,-2.3,1854,0.8,1570,0.6,2178,0.6,1702,0.5,2034,0.4,1704,0.2,1710,0.3
"1","1","食塩",28,0.0,-6.7,20,0.0,38,0.0,23,0.0,17,0.0,13,0.0,34,0.0,49,0.0
"1","1","学校給食",275,0.1,-63.3,189,0.1,161,0.1,430,0.1,267,0.1,461,0.1,194,0.0,218,0.0
"1","1","公営家賃",238,0.1,-88.4,-,-,1677,0.6,-,-,-,-,-,-,-,-,-,-
"1","1","電気代",13058,3.1,-18.7,8447,3.5,14538,5.2,12525,3.7,12360,3.7,12991,2.5,14815,2.2,15667,2.9
"1","1","都市ガス",7548,1.8,-26.6,5713,2.4,6716,2.4,8052,2.4,6922,2.1,8598,1.7,7538,1.1,9237,1.7
"1","1","上下水道料",5222,1.2,-12.2,3048,1.3,4776,1.7,5578,1.6,4769,1.4,6430,1.2,6138,0.9,5792,1.1
"1","1","医科診療代",2960,0.7,-35.4,2309,1.0,2936,1.0,3196,0.9,3189,1.0,2190,0.4,4092,0.6,2813,0.5
"1","1","歯科診療代",1486,0.4,-28.1,1322,0.6,1196,0.4,514,0.2,4307,1.3,982,0.2,1691,0.2,436,0.1
"1","1","出産入院料",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","1","他の入院料",991,0.2,47.9,-,-,2921,1.0,-,-,-,-,2500,0.5,1558,0.2,-,-
"1","1","鉄道運賃",5431,1.3,26.7,2125,0.9,5585,2.0,2173,0.6,5829,1.7,5354,1.0,6274,0.9,10574,1.9
"1","1","鉄道通学定期代",755,0.2,263.0,73,0.0,-,-,969,0.3,354,0.1,356,0.1,925,0.1,2550,0.5
"1","1","鉄道通勤定期代",3172,0.8,-29.1,497,0.2,3783,1.3,6817,2.0,-,-,2258,0.4,5475,0.8,3321,0.6
"1","1","バス代",362,0.1,-6.9,275,0.1,170,0.1,129,0.0,185,0.1,187,0.0,620,0.1,954,0.2
"1","1","バス通学定期代",255,0.1,203.6,-,-,-,-,1768,0.5,-,-,-,-,-,-,-,-
"1","1","バス通勤定期代",71,0.0,-69.4,-,-,273,0.1,222,0.1,-,-,-,-,-,-,-,-
"1","1","タクシー代",992,0.2,91.1,726,0.3,503,0.2,742,0.2,758,0.2,666,0.1,1923,0.3,1613,0.3
"1","1","航空運賃",3442,0.8,102.8,2190,0.9,-,-,7366,2.2,387,0.1,-,-,11703,1.7,2429,0.4
"1","1","郵便料",234,0.1,70.8,1004,0.4,165,0.1,52,0.0,151,0.0,58,0.0,111,0.0,100,0.0
"1","1","固定電話通信料",777,0.2,-25.7,585,0.2,775,0.3,339,0.1,783,0.2,955,0.2,1064,0.2,942,0.2
"1","1","携帯電話通信料",9419,2.2,-5.2,5488,2.3,8580,3.0,8848,2.6,10654,3.2,9723,1.9,11159,1.6,11438,2.1
"1","1","ＮＨＫ放送受信料",792,0.2,1.3,323,0.1,511,0.2,164,0.0,1854,0.6,658,0.1,476,0.1,1546,0.3
"1","1","ケーブルテレビ放送受信料",921,0.2,-17.5,966,0.4,1090,0.4,402,0.1,765,0.2,1032,0.2,1357,0.2,845,0.2
"1","1","他の放送受信料",56,0.0,-72.8,162,0.1,-,-,-,-,107,0.0,73,0.0,17,0.0,36,0.0
"1","1","国公立小学校",90,0.0,-55.7,424,0.2,86,0.0,-,-,-,-,-,-,-,-,118,0.0
"1","1","国公立中学校",85,0.0,-59.9,515,0.2,86,0.0,-,-,-,-,-,-,-,-,-,-
"1","1","国公立高校",837,0.2,-30.7,-,-,-,-,3172,0.9,-,-,591,0.1,2092,0.3,-,-
"1","1","国公立大学",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","1","たばこ",1332,0.3,32.5,1610,0.7,1675,0.6,1641,0.5,896,0.3,441,0.1,901,0.1,2129,0.4
"2","0","準公共料金等",31025,7.4,-17.6,19892,8.3,5426,1.9,13208,3.9,28827,8.7,31246,6.0,45935,6.7,71738,13.2
"2","1","牛乳",1295,0.3,-5.0,1608,0.7,931,0.3,1000,0.3,1189,0.4,1197,0.2,1523,0.2,1615,0.3
"2","1","灯油",145,0.0,-11.0,238,0.1,155,0.1,210,0.1,107,0.0,197,0.0,-,-,107,0.0
"2","1","プロパンガス",250,0.1,-29.4,-,-,1011,0.4,25,0.0,554,0.2,-,-,-,-,167,0.0
"2","1","理髪料",340,0.1,-9.3,302,0.1,28,0.0,303,0.1,80,0.0,618,0.1,708,0.1,342,0.1
"2","1","パーマネント代",82,0.0,-62.0,-,-,154,0.1,258,0.1,159,0.0,-,-,-,-,-,-
"2","1","洗濯代",815,0.2,-2.9,301,0.1,412,0.1,901,0.3,571,0.2,683,0.1,1445,0.2,1374,0.3
"2","1","新聞",1386,0.3,2.2,805,0.3,1252,0.4,749,0.2,1516,0.5,1936,0.4,1194,0.2,2232,0.4
"2","1","私立小学校",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"2","1","私立中学校",41,0.0,-22.6,-,-,-,-,286,0.1,-,-,-,-,-,-,-,-
"2","1","私立高校",2107,0.5,...,-,-,-,-,-,-,-,-,315,0.1,13746,2.0,764,0.1
"2","1","私立大学",10557,2.5,-35.8,7800,3.3,-,-,-,-,-,-,20920,4.0,11384,1.7,33282,6.1
"2","1","幼児教育費用",1921,0.5,47.7,320,0.1,1482,0.5,4680,1.4,1357,0.4,2937,0.6,2515,0.4,169,0.0
"2","1","民営家賃",11908,2.8,-21.1,7983,3.3,-,-,4084,1.2,23294,7.0,2444,0.5,13420,2.0,31687,5.8
"2","1","地代",178,0.0,...,536,0.2,-,-,711,0.2,-,-,-,-,-,-,-,-
"","","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 3月","","","","","","","","","","","","","","","","","","",""
"第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―　勤労者世帯　―","","","","","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：公共料金等　2：準公共料金等）","","","","","","","","","","","","","","","","","","",""
