"項目","階層","大分類","中分類","小分類","項目名","都平均／実数（円）","都平均／構成比（％）","2人／実数（円）","2人／構成比（％）","3人／実数（円）","3人／構成比（％）","4人／実数（円）","4人／構成比（％）","5人以上／実数（円）","5人以上／構成比（％）"
"0","0","0","0","0","世帯数分布",10000,-,2641,-,3542,-,2957,-,860,-
"0","0","0","0","0","調査世帯数",324,-,85,-,110,-,98,-,31,-
"0","0","0","0","0","世帯人員",3.22,-,2.00,-,3.00,-,4.00,-,5.17,-
"0","0","0","0","0","有業人員",1.86,-,1.58,-,1.86,-,2.05,-,2.10,-
"0","0","0","0","0","世帯主平均年齢",51.0,-,56.5,-,50.2,-,47.5,-,49.9,-
"1","0","0","0","0","受取",1481041,-,1206087,-,1579137,-,1648247,-,1346766,-
"1","1","0","0","0","実収入",632295,100.0,509303,100.0,676296,100.0,717534,100.0,535837,100.0
"1","2","0","0","0","経常収入",625243,98.9,505349,99.2,665099,98.3,712465,99.3,529521,98.8
"1","3","0","0","0","勤め先収入",609448,96.4,491752,96.6,643678,95.2,698917,97.4,522418,97.5
"1","4","0","0","0","世帯主収入",484368,76.6,396827,77.9,499049,73.8,566223,78.9,411407,76.8
"1","6","0","0","0","うち男",469194,74.2,374779,73.6,481680,71.2,555402,77.4,411407,76.8
"1","5","0","0","0","定期収入",460982,72.9,389317,76.4,490083,72.5,505701,70.5,407539,76.1
"1","5","0","0","0","臨時収入",7312,1.2,7326,1.4,2427,0.4,14155,2.0,3868,0.7
"1","5","0","0","0","賞与",16073,2.5,184,0.0,6539,1.0,46367,6.5,-,-
"1","4","0","0","0","世帯主の配偶者の収入",117033,18.5,93059,18.3,130765,19.3,124111,17.3,109788,20.5
"1","6","0","0","0","うち女",111922,17.7,85939,16.9,121643,18.0,124111,17.3,109788,20.5
"1","4","0","0","0","他の世帯員収入",8046,1.3,1867,0.4,13865,2.1,8583,1.2,1223,0.2
"1","3","0","0","0","事業・内職収入",7119,1.1,9014,1.8,9349,1.4,2845,0.4,6813,1.3
"1","4","0","0","0","家賃収入",2594,0.4,5744,1.1,2327,0.3,855,0.1,-,-
"1","4","0","0","0","他の事業収入",3523,0.6,3270,0.6,7022,1.0,-,-,1997,0.4
"1","4","0","0","0","内職収入",1003,0.2,-,-,-,-,1990,0.3,4816,0.9
"1","3","0","0","0","他の経常収入",8676,1.4,4583,0.9,12072,1.8,10704,1.5,290,0.1
"1","4","0","0","0","財産収入",1001,0.2,2507,0.5,780,0.1,127,0.0,290,0.1
"1","4","0","0","0","社会保障給付",7417,1.2,1279,0.3,11293,1.7,10417,1.5,-,-
"1","5","0","0","0","公的年金給付",1291,0.2,-,-,276,0.0,4034,0.6,-,-
"1","5","0","0","0","他の社会保障給付",6127,1.0,1279,0.3,11016,1.6,6383,0.9,-,-
"1","4","0","0","0","仕送り金",258,0.0,797,0.2,-,-,160,0.0,-,-
"1","2","0","0","0","特別収入",7052,1.1,3954,0.8,11197,1.7,5068,0.7,6316,1.2
"1","3","0","0","0","受贈金",2332,0.4,2391,0.5,3786,0.6,877,0.1,1165,0.2
"1","3","0","0","0","他の特別収入",4720,0.7,1563,0.3,7411,1.1,4191,0.6,5151,1.0
"1","1","0","0","0","実収入以外の受取(繰入金を除く)",609938,-,526869,-,602307,-,690445,-,619716,-
"1","2","0","0","0","預貯金引出",433325,-,372692,-,409552,-,506935,-,464377,-
"1","2","0","0","0","保険金",3341,-,2316,-,-,-,9231,-,-,-
"1","3","0","0","0","個人・企業年金保険金",741,-,2316,-,-,-,439,-,-,-
"1","3","0","0","0","他の保険金",2599,-,-,-,-,-,8792,-,-,-
"1","2","0","0","0","有価証券売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","土地家屋借入金",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","他の借入金",3408,-,-,-,9621,-,-,-,-,-
"1","2","0","0","0","クレジット購入借入金",169196,-,151623,-,181555,-,174150,-,155251,-
"1","2","0","0","0","土地家屋売却",-,-,-,-,-,-,-,-,-,-
"1","2","0","0","0","実収入以外の受取のその他",668,-,239,-,1578,-,129,-,88,-
"1","1","0","0","0","繰入金",238809,-,169914,-,300534,-,240268,-,191213,-
"2","0","0","0","0","支払",1481041,-,1206087,-,1579137,-,1648247,-,1346766,-
"2","1","0","0","0","実支出",550646,-,455312,-,550541,-,646367,-,514820,-
"2","2","0","0","0","生計支出",400235,-,328211,-,388369,-,477212,-,405672,-
"2","3","0","0","0","消費支出",400235,100.0,328211,100.0,388369,100.0,477212,100.0,405672,100.0
"2","4","1","0","0","食料",103751,25.9,90946,27.7,101133,26.0,112527,23.6,123677,30.5
"2","5","1","1","0","穀類",7536,1.9,5883,1.8,7350,1.9,8530,1.8,9961,2.5
"2","6","1","1","1","米類",1864,0.5,1403,0.4,1774,0.5,2180,0.5,2565,0.6
"2","6","1","1","2","パン",3432,0.9,2700,0.8,3414,0.9,3806,0.8,4466,1.1
"2","6","1","1","3","麺類",1721,0.4,1300,0.4,1557,0.4,2044,0.4,2576,0.6
"2","6","1","1","4","他の穀類",519,0.1,480,0.1,605,0.2,500,0.1,354,0.1
"2","5","1","2","0","魚介類",5507,1.4,5139,1.6,5365,1.4,5466,1.1,7366,1.8
"2","6","1","2","1","生鮮魚介",3235,0.8,2982,0.9,3029,0.8,3154,0.7,5139,1.3
"2","6","1","2","2","塩干魚介",952,0.2,786,0.2,1005,0.3,1031,0.2,971,0.2
"2","6","1","2","3","魚肉練製品",548,0.1,703,0.2,487,0.1,495,0.1,500,0.1
"2","6","1","2","4","他の魚介加工品",772,0.2,668,0.2,843,0.2,786,0.2,756,0.2
"2","5","1","3","0","肉類",9226,2.3,5956,1.8,8877,2.3,11658,2.4,12340,3.0
"2","6","1","3","1","生鮮肉",7678,1.9,4848,1.5,7442,1.9,9699,2.0,10390,2.6
"2","6","1","3","2","加工肉",1548,0.4,1108,0.3,1435,0.4,1960,0.4,1949,0.5
"2","5","1","4","0","乳卵類",4587,1.1,3486,1.1,4517,1.2,5311,1.1,5768,1.4
"2","6","1","4","1","牛乳",1384,0.3,1019,0.3,1224,0.3,1705,0.4,2065,0.5
"2","6","1","4","2","乳製品",2308,0.6,1660,0.5,2415,0.6,2717,0.6,2449,0.6
"2","6","1","4","3","卵",895,0.2,808,0.2,878,0.2,889,0.2,1254,0.3
"2","5","1","5","0","野菜・海藻",10117,2.5,8694,2.6,10547,2.7,10660,2.2,10851,2.7
"2","6","1","5","1","生鮮野菜",7195,1.8,6056,1.8,7626,2.0,7485,1.6,7924,2.0
"2","6","1","5","2","乾物・海藻",676,0.2,630,0.2,619,0.2,763,0.2,757,0.2
"2","6","1","5","3","大豆加工品",1127,0.3,918,0.3,1113,0.3,1298,0.3,1235,0.3
"2","6","1","5","4","他の野菜・海藻加工品",1119,0.3,1090,0.3,1189,0.3,1114,0.2,935,0.2
"2","5","1","6","0","果物",2829,0.7,2161,0.7,3111,0.8,2907,0.6,3448,0.8
"2","6","1","6","1","生鮮果物",2460,0.6,1768,0.5,2678,0.7,2628,0.6,3109,0.8
"2","6","1","6","2","果物加工品",369,0.1,394,0.1,432,0.1,279,0.1,339,0.1
"2","5","1","7","0","油脂・調味料",4112,1.0,3313,1.0,4153,1.1,4748,1.0,4210,1.0
