"項目","項目名","都平均／実数（円）","都平均／構成比（％）","都平均／対前年同月増加率（％）","第1階層／実数（円）","第1階層／構成比（％）","第2階層／実数（円）","第2階層／構成比（％）","第3階層／実数（円）","第3階層／構成比（％）","第4階層／実数（円）","第4階層／構成比（％）","第5階層／実数（円）","第5階層／構成比（％）","第6階層／実数（円）","第6階層／構成比（％）","第7階層／実数（円）","第7階層／構成比（％）"
"0","世帯数分布",10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
"0","調査世帯数",612,-,-,81,-,88,-,93,-,93,-,89,-,87,-,81,-
"0","世帯人員",2.93,-,-,2.83,-,2.68,-,2.88,-,2.81,-,2.98,-,3.08,-,3.22,-
"0","有業人員",1.39,-,-,1.19,-,1.17,-,1.29,-,1.40,-,1.49,-,1.59,-,1.62,-
"0","世帯主平均年齢",60.9,-,-,63.4,-,66.0,-,63.2,-,58.3,-,61.2,-,56.9,-,57.8,-
"0","消費支出",374244,100.0,8.4,102873,100.0,166575,100.0,222528,100.0,288587,100.0,364538,100.0,475767,100.0,993716,100.0
"2","基礎的支出",191932,51.3,3.0,78277,76.1,118565,71.2,145377,65.3,180873,62.7,205374,56.3,242957,51.1,370426,37.3
"3","選択的支出",182312,48.7,14.8,24596,23.9,48009,28.8,77151,34.7,107714,37.3,159164,43.7,232811,48.9,623290,62.7
"1","食料",105320,28.1,7.0,57165,55.6,73352,44.0,88209,39.6,108288,37.5,113356,31.1,137247,28.8,158982,16.0
"2","基礎的支出",79492,21.2,6.3,48651,47.3,62724,37.7,73146,32.9,78901,27.3,86827,23.8,93566,19.7,112279,11.3
"3","選択的支出",25828,6.9,9.0,8514,8.3,10628,6.4,15063,6.8,29387,10.2,26530,7.3,43681,9.2,46703,4.7
"1","住居",25829,6.9,24.9,1008,1.0,2855,1.7,11476,5.2,15414,5.3,17016,4.7,30212,6.4,102257,10.3
"2","基礎的支出",24765,6.6,31.1,1008,1.0,2511,1.5,11476,5.2,14978,5.2,16204,4.4,25778,5.4,100860,10.1
"3","選択的支出",1064,0.3,-40.2,-,-,343,0.2,-,-,435,0.2,812,0.2,4434,0.9,1398,0.1
"1","光熱・水道",26955,7.2,-19.0,12534,12.2,23148,13.9,21276,9.6,30797,10.7,30542,8.4,31362,6.6,38902,3.9
"2","基礎的支出",26955,7.2,-19.0,12534,12.2,23148,13.9,21276,9.6,30797,10.7,30542,8.4,31362,6.6,38902,3.9
"3","選択的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1","家具・家事用品",13738,3.7,31.1,3484,3.4,5195,3.1,7492,3.4,10076,3.5,13493,3.7,18697,3.9,37527,3.8
"2","基礎的支出",9840,2.6,20.8,3314,3.2,4056,2.4,5939,2.7,8025,2.8,9630,2.6,13476,2.8,24310,2.4
"3","選択的支出",3899,1.0,66.7,171,0.2,1138,0.7,1553,0.7,2052,0.7,3862,1.1,5221,1.1,13217,1.3
"1","被服及び履物",13393,3.6,-0.2,1489,1.4,3513,2.1,5927,2.7,9457,3.3,13460,3.7,18679,3.9,40992,4.1
"2","基礎的支出",685,0.2,-0.4,170,0.2,266,0.2,557,0.3,739,0.3,631,0.2,818,0.2,1607,0.2
"3","選択的支出",12708,3.4,-0.2,1319,1.3,3247,1.9,5370,2.4,8719,3.0,12829,3.5,17861,3.8,39385,4.0
"1","保健医療",20507,5.5,15.2,4441,4.3,9502,5.7,13231,5.9,15155,5.3,22402,6.1,25522,5.4,53024,5.3
"2","基礎的支出",17904,4.8,15.7,4272,4.2,7987,4.8,12207,5.5,13503,4.7,19746,5.4,22926,4.8,44460,4.5
"3","選択的支出",2603,0.7,11.7,169,0.2,1515,0.9,1024,0.5,1652,0.6,2657,0.7,2597,0.5,8564,0.9
"1","交通・通信",63027,16.8,59.0,4863,4.7,12695,7.6,20619,9.3,21934,7.6,33707,9.2,57632,12.1,288225,29.0
"2","基礎的支出",7410,2.0,2.2,1231,1.2,2504,1.5,4138,1.9,6321,2.2,8581,2.4,15159,3.2,13829,1.4
"3","選択的支出",55617,14.9,71.7,3633,3.5,10191,6.1,16481,7.4,15613,5.4,25126,6.9,42472,8.9,274396,27.6
"1","教育",15770,4.2,-13.6,95,0.1,1058,0.6,3173,1.4,2241,0.8,16282,4.5,13811,2.9,73345,7.4
"2","基礎的支出",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"3","選択的支出",15770,4.2,-13.6,95,0.1,1058,0.6,3173,1.4,2241,0.8,16282,4.5,13811,2.9,73345,7.4
"1","教養娯楽",42591,11.4,-6.6,8740,8.5,14838,8.9,20730,9.3,30575,10.6,48576,13.3,64971,13.7,109069,11.0
"2","基礎的支出",5711,1.5,-15.2,2519,2.4,5173,3.1,5115,2.3,6274,2.2,6403,1.8,7243,1.5,7223,0.7
"3","選択的支出",36880,9.9,-5.2,6221,6.0,9665,5.8,15616,7.0,24301,8.4,42173,11.6,57728,12.1,101846,10.2
"1","その他の消費支出",47114,12.6,-1.0,9054,8.8,20419,12.3,30394,13.7,44650,15.5,55703,15.3,77634,16.3,91393,9.2
"2","基礎的支出",19170,5.1,-9.6,4580,4.5,10195,6.1,11523,5.2,21337,7.4,26810,7.4,32628,6.9,26957,2.7
"3","選択的支出",27944,7.5,6.0,4474,4.3,10224,6.1,18871,8.5,23313,8.1,28893,7.9,45006,9.5,64436,6.5
"","","","","","","","","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 3月","","","","","","","","","","","","","","","","","",""
"第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―　全　世　帯　―","","","","","","","","","","","","","","","","","",""
"項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）","","","","","","","","","","","","","","","","","",""
