"年次・月次コード","年次・月次","西暦（年）","月","都平均","第1階層","第2階層","第3階層","第4階層","第5階層","第6階層","第7階層"
"nen","平成29年平均","2017","",26.9,27.6,28.5,28.6,27.8,27.3,25.8,26.2
"nen","平成30年平均","2018","",27.6,28.9,30.7,28.1,27.9,27.4,26.1,27.4
"nen","平成31年・令和元年平均","2019","",26.7,28.2,28.5,28.9,27.1,25.9,26.4,25.9
"nen","令和 2年平均","2020","",27.2,27.8,28.8,29.3,28.4,26.6,26.3,26.4
"nen","令和 3年平均","2021","",26.2,26.0,28.6,27.2,26.9,25.6,25.7,25.8
"nen","令和 4年平均","2022","",27.2,27.4,29.6,29.8,28.6,26.7,26.5,26.1
"nen","令和 5年平均","2023","",26.9,24.5,27.6,28.0,28.5,25.8,24.6,27.8
"tuki","令和 5年 5月","2023","5",28.3,25.3,26.4,27.6,27.8,27.5,26.6,31.1
"tuki","令和 5年 6月","2023","6",26.0,24.2,26.4,26.9,25.5,25.1,24.9,26.9
"tuki","令和 5年 7月","2023","7",25.1,21.3,24.9,23.8,27.4,25.1,25.0,25.4
"tuki","令和 5年 8月","2023","8",21.7,21.4,28.1,26.2,26.1,25.4,25.0,15.0
"tuki","令和 5年 9月","2023","9",26.9,23.7,23.8,25.9,27.1,26.9,22.0,30.9
"tuki","令和 5年10月","2023","10",28.0,22.6,26.1,27.0,25.0,24.3,24.1,33.2
"tuki","令和 5年11月","2023","11",23.1,22.1,25.4,26.5,25.8,23.1,18.8,23.0
"tuki","令和 5年12月","2023","12",23.1,19.8,25.4,25.1,23.0,20.0,20.9,25.2
"tuki","令和 6年 1月","2024","1",26.7,26.4,27.0,30.5,26.9,24.6,24.0,28.0
"tuki","令和 6年 2月","2024","2",27.6,23.3,31.1,29.8,27.7,26.7,22.8,29.7
"tuki","令和 6年 3月","2024","3",22.6,22.9,28.6,26.3,25.8,24.4,23.4,18.9
"tuki","令和 6年 4月","2024","4",32.4,26.9,29.7,27.2,28.7,25.8,23.4,40.5
"tuki","令和 6年 5月","2024","5",25.2,23.9,28.0,25.8,26.2,24.2,21.0,27.0
"","","","","","","","","","","",""
"東京都生計分析調査　令和 6年 5月","","","","","","","","","","",""
"主　　要　　指　　標　　　４　　―　全世帯，生計支出７分位階層別　―","","","","","","","","","","",""
"公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕","","","","","","","","","","",""
