,品名,総数量,防災備蓄倉庫,小・中学校等,備考
応急食糧品等,ビスケット[食],119168,38400,80768,１箱１２８包
応急食糧品等,クラッカー[食],117740,41930,75810,１箱７０包
応急食糧品等,アルファ米（発熱剤付）[食],217000,107050,109950,１箱５０食入、発熱剤付
応急食糧品等,雑炊（サバイバルフーズ）[食],40000,40000,,１箱６缶入（１缶１０食）
応急食糧品等,災害救助用ハーベスト[食],3024,3024,,１箱２缶入（１缶２４食）
応急食糧品等,おかゆ（要援護者用）[食],20000,20000,,１缶１食（２８０ｇ）、乾燥梅付き
応急食糧品等,けんちん汁（要援護者用）[食],20000,20000,,１箱６缶入（１缶１５食）
応急食糧品等,非常備蓄用ミキサー粥（離乳食）[食],2350,2350,,１袋３０ｇ
応急食糧品等,粉ミルク[箱],5583,5583,,１箱１０袋（１袋１３ｇ）
応急食糧品等,アレルギー用ミルク[箱],776,776,,１箱７．２５ｇ×１２本
応急食糧品等,飲料水（炊き出し用）[本],26040,12846,13194,ペットボトル２L
応急食糧品等,飲料水（粉ミルク用）[本],2940,2940,,ペットボトル２L
応急食糧品等,飲料水（飲用）[本],4536,,4536,ペットボトル２L
応急食糧品等,飲料水（飲用・小）[本],4200,4200,,１箱２４本入　５００ｍｌ　※離乳食用も含む
生活必需品,哺乳瓶[本],1620,1620,,
生活必需品,紙おむつ（大人用）[枚],25206,25206,,
生活必需品,紙おむつ（乳幼児用）[枚],19526,19526,,各種サイズ
生活必需品,コップ[個],153200,61840,91360,
生活必需品,割り箸[膳],154000,25000,129000,
生活必需品,どんぶり（スチロール）[個],153720,24000,129720,
生活必需品,石鹸[個],5400,360,5040,
生活必需品,ごみ収集袋[枚],45000,7200,37800,１箱３００枚入（１０枚×３０袋）
生活必需品,ローソク[本],7305,488,6817,
生活必需品,毛布[枚],27050,13680,13370,真空パック包装
生活必需品,簡易毛布[枚],3000,3000,,
生活必需品,アルミマット[枚],1500,1500,,
生活必需品,エアーマット[枚],3028,928,2100,
生活必需品,両手鍋[個],752,80,672,２２ｃｍ、２．７５Ｌ
生活必需品,卓上コンロ[台],749,77,672,カセットガス３本付
生活必需品,ビニールシート[枚],9520,2400,7120,３．６×５．４
生活必需品,炊飯袋[枚],306000,96000,210000,
生活必需品,輪ゴム[箱],850,430,420,炊飯袋用
