区分,,平成23年,平成24年,平成25年,平成26年,平成27年
交通事故,本所,936,870,792,736,694
交通事故,向島,546,532,629,469,591
交通事故,計,1482,1402,1421,1205,1285
火災,本所,55,12,9,5,11
火災,向島,30,7,8,7,10
火災,計,85,19,17,12,21
運動競技,本所,50,52,41,61,48
運動競技,向島,31,29,55,27,59
運動競技,計,81,81,96,88,107
自然災害,本所,0,0,1,0,0
自然災害,向島,0,1,0,0,0
自然災害,計,0,1,1,0,0
水難,本所,16,16,12,14,11
水難,向島,6,11,14,16,11
水難,計,22,27,26,30,22
労災,本所,63,71,45,77,86
労災,向島,25,47,43,40,41
労災,計,88,118,88,117,127
一般負傷,本所,1538,1477,1514,1458,1525
一般負傷,向島,1102,1031,1493,1251,1597
一般負傷,計,2640,2508,3007,2709,3122
自損,本所,83,50,52,54,42
自損,向島,71,42,57,48,51
自損,計,154,92,109,102,93
加害,本所,155,121,106,102,91
加害,向島,58,64,66,67,51
加害,計,213,185,172,169,142
急病,本所,6534,5713,5820,5963,5897
急病,向島,4715,4279,5988,5014,6015
急病,計,11249,9992,11808,10977,11912
転院,本所,706,634,556,559,552
転院,向島,599,573,828,717,882
転院,計,1305,1207,1384,1276,1434
合計,本所,10136,9016,8948,9029,8597
合計,向島,7183,6616,9181,7656,9307
合計,計,17319,15632,18129,16685,18265
