区分,,,,平成23年,平成24年,平成25年,平成26年,平成27年
火災件数(件),,,本所,54,52,33,49,47
火災件数(件),,,向島,61,35,48,44,54
火災件数(件),,,計,115,87,81,93,101
火災の内訳,建築物,全焼,本所,1,1,0,0,0
火災の内訳,建築物,全焼,向島,0,1,1,0,1
火災の内訳,建築物,全焼,計,1,2,1,0,1
火災の内訳,建築物,半焼,本所,0,0,0,1,1
火災の内訳,建築物,半焼,向島,1,0,2,0,1
火災の内訳,建築物,半焼,計,1,0,2,1,2
火災の内訳,建築物,部分焼,本所,6,5,6,4,8
火災の内訳,建築物,部分焼,向島,6,8,10,5,5
火災の内訳,建築物,部分焼,計,12,13,16,9,12
火災の内訳,建築物,ぼや,本所,26,26,19,33,24
火災の内訳,建築物,ぼや,向島,32,18,15,17,28
火災の内訳,建築物,ぼや,計,58,44,34,50,52
火災の内訳,車両,,本所,8,2,3,2,3
火災の内訳,車両,,向島,3,1,4,2,2
火災の内訳,車両,,計,11,3,7,4,5
火災の内訳,その他,,本所,13,13,5,9,11
火災の内訳,その他,,向島,19,7,16,20,17
火災の内訳,その他,,計,32,20,21,29,28
り災世帯数,,全損,本所,1,1,0,0,0
り災世帯数,,全損,向島,5,0,8,2,4
り災世帯数,,全損,計,6,1,8,2,4
り災世帯数,,半損,本所,6,0,0,2,1
り災世帯数,,半損,向島,2,2,7,3,2
り災世帯数,,半損,計,8,2,7,5,3
り災世帯数,,小損,本所,26,36,25,16,18
り災世帯数,,小損,向島,30,23,24,19,31
り災世帯数,,小損,計,56,59,49,35,49
焼失面積[㎡],,,本所,186,312,21,91,140
焼失面積[㎡],,,向島,138,295,317,43,222
焼失面積[㎡],,,計,324,607,338,134,362
り災棟数[棟],,,本所,37,34,16,38,36
り災棟数[棟],,,向島,44,31,37,22,37
り災棟数[棟],,,計,81,65,53,60,73
損害額[千円],,,本所,76318,46259,8540,18142,14139
損害額[千円],,,向島,33682,159081,45589,14114,39963
損害額[千円],,,計,110000,205340,54129,32256,54102
死者[人],,,本所,1,1,0,0,0
死者[人],,,向島,0,1,1,1,3
死者[人],,,計,1,2,1,1,3
負傷者[人],,,本所,5,8,6,8,8
負傷者[人],,,向島,10,7,10,6,11
負傷者[人],,,計,15,15,16,14,19
