年度,Fiscal year,男女区分 ,Male female classification,区分 ,Classification,幼稚園 Kindergarten／5歳 5 years old,小学校 Elementary school／6歳 6 years old,小学校 Elementary school／7歳 7 years old,小学校 Elementary school／8歳 8 years old,小学校 Elementary school／9歳 9 years old,小学校 Elementary school／10歳 10 years old,小学校 Elementary school／11歳 11 years old,中学校 Junior high schoo／12歳 12 years old,中学校 Junior high schoo／13歳 13 years old,中学校 Junior high schoo／14歳 14 years old,高等学校 Senior high school／15歳 15 years old,高等学校 Senior high school／16歳 16 years old,高等学校 Senior high school／17歳 17 years old
平成3,1991,男 ,Male,身長 (cm),Height (cm),110.7,117,122.7,128.3,133.6,139,145.1,152.7,160.1,165.8,168.3,170.2,170.5
平成8,1996,男 ,Male,身長 (cm),Height (cm),111.4,117.2,123.2,128.6,133.4,138.9,145.1,152.4,160.3,166.2,168.9,170.5,171.2
平成13,2001,男 ,Male,身長 (cm),Height (cm),110.9,117.3,122.4,128.5,134,139.6,145.5,153.9,160.9,166.3,169.3,170.4,171.2
平成18,2006,男 ,Male,身長 (cm),Height (cm),110.7,116.7,122.6,128.9,133.7,139.2,145.7,153.3,160.9,166.1,168.9,170.5,171.3
平成23,2011,男 ,Male,身長 (cm),Height (cm),111.2,117.1,123.2,128.6,134.4,138.6,146.3,153.1,159.9,165.8,169.2,170.6,170.8
平成28,2016,男 ,Male,身長 (cm),Height (cm),110.6,116.4,122.8,128.5,133.6,139.3,145.8,153.2,160.7,165.9,168.6,170.4,171.3
令和3,2021,男 ,Male,身長 (cm),Height (cm),111.2,117.6,123.2,129,134.2,139.5,146.2,154.4,161.3,166.4,169.5,170.3,171.4
平成3,1991,男 ,Male,体重 (kg)  ,Weight (kg),19.3,21.5,24.1,27.3,30.6,34.6,38.1,45.1,50.5,56,59.9,63.2,62.6
平成8,1996,男 ,Male,体重 (kg)  ,Weight (kg),19.5,22,24.5,27.8,30.6,35.2,38.7,44.7,51.4,56.1,60.8,62.5,63.9
平成13,2001,男 ,Male,体重 (kg)  ,Weight (kg),19.2,21.6,24,27.6,31.4,35.4,39.8,46.3,51,56.3,60.9,61.8,62.3
平成18,2006,男 ,Male,体重 (kg)  ,Weight (kg),19,21.3,23.9,27.6,30.6,34.7,39.1,46.1,50.7,56,60.8,61.3,63.7
平成23,2011,男 ,Male,体重 (kg)  ,Weight (kg),19,21.4,24.2,27.2,30.5,33.3,39.2,43.7,49.2,54.5,60.3,61.2,62.9
平成28,2016,男 ,Male,体重 (kg)  ,Weight (kg),18.9,21.3,24.1,26.9,30.1,34.3,38.8,43.7,49.5,54.2,58.1,60,62.6
令和3,2021,男 ,Male,体重 (kg)  ,Weight (kg),19.2,22.1,24.4,27.8,31.2,34.5,39.7,45.7,50.3,55.4,58.6,60.3,62.2
平成3,1991,女 ,Female,身長 (cm),Height (cm),109.9,116.6,122.3,127.8,133,139.5,146.6,151.8,155.2,157,157.6,158.1,158
平成8,1996,女 ,Female,身長 (cm),Height (cm),110.4,116,121.9,127.9,133.4,140.2,147.1,152.1,155.4,156.9,157.5,158.3,158.6
平成13,2001,女 ,Female,身長 (cm),Height (cm),110.1,116.5,121.8,127.6,133.6,140.5,147.8,152.6,155.4,157.3,157.2,158.1,158.3
平成18,2006,女 ,Female,身長 (cm),Height (cm),110.3,115.9,121.9,127.6,133.8,140,147.3,152.3,155.8,157.1,158,158.5,158.7
平成23,2011,女 ,Female,身長 (cm),Height (cm),110,115.7,121.8,127.8,133.9,140.1,146.5,152.5,155.5,157.3,157.5,158.2,158.2
平成28,2016,女 ,Female,身長 (cm),Height (cm),109.5,115.7,122.1,127.1,133.8,140.5,147.2,152.6,154.9,156.9,157.4,158.1,158.3
令和3,2021,女 ,Female,身長 (cm),Height (cm),110,116.3,122.4,128.1,134.3,140.7,147.5,152.9,155.8,156.9,158,158.4,158.9
平成3,1991,女 ,Female,体重 (kg) ,Weight (kg),18.9,21.5,23.9,26.6,29.6,34,39.1,44.1,47.5,50.4,51.3,52.2,52.3
平成8,1996,女 ,Female,体重 (kg) ,Weight (kg),19.1,21.1,23.8,27.2,30.2,34.7,39.8,44.4,48.1,50.6,52.1,53,53.4
平成13,2001,女 ,Female,体重 (kg) ,Weight (kg),18.9,21.5,23.4,26.9,30.3,34.7,40.7,45,48.2,51.1,53,52.7,53.1
平成18,2006,女 ,Female,体重 (kg) ,Weight (kg),18.8,20.9,23.4,26.2,30.1,33.8,39.2,44,48,50.2,51.5,53.2,53.4
平成23,2011,女 ,Female,体重 (kg) ,Weight (kg),18.6,20.8,23.4,26.4,29.6,33.6,38.2,43.2,47,50.1,50.9,52,52.5
平成28,2016,女 ,Female,体重 (kg) ,Weight (kg),18.5,20.9,23.6,26.2,29.7,33.9,38.8,43.5,47.1,49.7,51.2,52,52.5
令和3,2021,女 ,Female,体重 (kg) ,Weight (kg),18.8,21.3,24.1,27,30.1,34.6,39.5,44.3,47.7,49.7,50.9,51.5,51.7
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
 17-4  幼児，児童及び生徒の年齢別発育平均値 (平成3～令和3年度) 17-4  AVERAGE GROWTH OF INFANTS， CHILDREN， AND STUDENTS BY AGE  ( Fiscal Years 1991-2021 ),,,,,,,,,,,,,,,,,,
この表は学校保健統計調査による。 2段階抽出調査であり，まず，学校を抽出し，その学校から生徒を抽出している 。　,,,,,,,,,,,,,,,,,,
注) 令和3年度については，例年4月1日から6月30日に実施される健康診断が当該年度末まで実施することになったため，調査期間が延長された。成長の著しい時期において測定時期を異にしたデータを集計したものとなっており，過去の数値と単純比較はできない。,,,,,,,,,,,,,,,,,,
Data in this table are based on the School Health Statistical Survey， a two stage sampling in which a sample of students are surveyed from a sample of schools.,,,,,,,,,,,,,,,,,,
Note: School physicals are usually conducted between April 1 and June 30. Since this period was extended to the end of the fiscal year for  FY2021， measurements taken in FY2021 cover a longer period than before， making a simple comparison with past figures impossible as this covers a stage of development when children grow rapidly.,,,,,,,,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校保健統計（学校保健統計調査報告書）」 Source: Bureau of General Affairs， TMG　　 ,,,,,,,,,,,,,,,,,,
