年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena,貸切使用日数 Group use (number of days)／ｻﾌﾞｱﾘｰﾅ Sub arena,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools 2)／50m,貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools 2)／25m,貸切使用日数 Group use (number of days)／研修室(4室) Seminar rooms (4),一般公開利用者数  Individual users／屋内プール Indoor swimming poolsトレーニングルーム Training room,一般公開利用者数  Individual users／陸上競技場 Athletic field,健康体力相談室 Health counseling room(人 persons),講習会等 Workshops and others／回数 Times held,講習会等 Workshops and others／利用者数 Participants,,,,,,,
令和元,2019,-,-,-,-,-,-,-,-,-,-,,,,,,,
令和2,2020,43,46,-,-,111,-,-,-,3,59,,,,,,,
令和3,2021,82,85,65,66,261,38339,2294,-,7,1162,,,,,,,
,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (1) 東京体育館 (令和元～3年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (1) TOKYO METROPOLITAN GYMNASIUM ( Fiscal Years 2019-2021 )　,,,,,,,,,,,,,,,,,,
注 1) 改修工事等に伴い，平成30年4月からサブアリーナを休館，平成30年7月からは全施設を休館した。,,,,,,,,,,,,,,,,,,
2) 令和2年度以降は新型コロナウイルス感染症や東京2020大会の延期・開催等により，施設の休館や利用制限のある運営を行った。,,,,,,,,,,,,,,,,,,
3) 屋内プール(50m)貸切使用日数はコースごとである。 　　,,,,,,,,,,,,,,,,,,
Note: 1) The sub arena closed for renovations from April 2018 followed by the temporary closure of all facilities from July 2018.,,,,,,,,,,,,,,,,,,
"2) Since fiscal 2020, the facility was closed or operating under restricted admission due to COVID-19 and the postponement/hosting of the Olympic and Paralympic Games Tokyo 2020.",,,,,,,,,,,,,,,,,,
3) Group use of a lane in the 50-meter pool is counted as one day.   　　　　,,,,,,,,,,,,,,,,,,
資料：都生活文化スポーツ局スポーツ施設部調整課 Source: Bureau of Citizens， Culture and Sports， TMG,,,,,,,,,,,,,,,,,,
