年度,Fiscal year,幼稚園 Kindergarten,小学校 Elementary school,中学校 Junior high school,義務教育学校 Compulsory education school,高等学校(全日制) Senior high school (Full-time),高等学校(定時制) Senior high school (part-time),高等学校(通信制) Senior high school (correspondence course),中等教育学校 Secondary education school,特別支援学校 Special needs school,,,,
平成30,2018,17506,57537,78651,66351,60338,39044,290,130047,38209,,,,
令和元,2019,…,…,…,…,…,…,…,…,…,,,,
令和2,2020,13924,46134,54327,56433,27603,18340,244,68073,25710,,,,
,,,,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,,,
17-2  公立学校別保護者が負担する一人当たり学校納付金 (平成30～令和2年度) 17-2  SCHOOL FEES PAID BY GUARDIANS PER CHILD BY TYPE OF PUBLIC SCHOOL ( Fiscal Years 2018-2020 ) ,,,,,,,,,,,,,,
保護者が負担する学校納付金とは，教材費，学校給食費等をいい，入学金，授業料等を含まない。,,,,,,,,,,,,,,
School fees paid by guardians include expenses for textbooks and other learning materials and school meals， but exclude school admission fees and tuition fees， among others. ,,,,,,,,,,,,,,
注) 令和元年度は，新型コロナウイルス感染症蔓延のため調査未実施である。,,,,,,,,,,,,,,
Note: The survey was not conducted in FY2019 due to the spread of COVID-19.  ,,,,,,,,,,,,,,
資料：都教育庁総務部広報統計課 「保護者が負担する教育費調査報告書－学校納付金調査－」   Source: Office of Education， TMG,,,,,,,,,,,,,,
（単位　円）(In yen)  ,,,,,,,,,,,,,,
