年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
令和元,2019,総数,Total,101723,49839,51884,1063,43041,57619,98650,3073
令和2,2020,総数,Total,100178,49059,51119,1041,42839,56298,97088,3090
令和3,2021,総数,Total,98943,48869,50074,836,41601,56506,95971,2972
令和3,2021,進学者(A),Enrollment in higher education institutions(A),68292,32080,36212,546,23196,44550,67557,735
令和3,2021,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,66352,31852,34500,544,22183,43625,65687,665
令和3,2021,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,1793,166,1627,1,932,860,1748,45
令和3,2021,進学者(A)／大学・短期大学の通信教育部,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges,111,59,52,-,79,32,86,25
令和3,2021,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,4,2,2,1,1,2,4,-
令和3,2021,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,32,1,31,-,1,31,32,-
令和3,2021,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
令和3,2021,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),12239,5181,7058,4,8099,4136,11652,587
令和3,2021,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),5220,3350,1870,-,2533,2687,5078,142
令和3,2021,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),289,227,62,-,273,16,182,107
令和3,2021,就職者等(E),Employed and others (E),5710,3529,2181,4,4898,808,4805,905
令和3,2021,就職者等(E)／自営業主等,Employed and others (E)／Self-employed persons and others,174,128,46,-,112,62,141,33
令和3,2021,就職者等(E)／常用労働者,Employed and others (E)／Regular worker,5422,3346,2076,4,4674,744,4601,821
令和3,2021,就職者等(E)／常用労働者／無期雇用労働者,Employed and others (E)／Regular worker／Indefinite-term employment,4975,3091,1884,3,4267,705,4337,638
令和3,2021,就職者等(E)／常用労働者／有期雇用労働者,Employed and others (E)／Regular worker／ Fixed-term employment,447,255,192,1,407,39,264,183
令和3,2021,就職者等(E)／臨時労働者,Employed and others (E)／Contingent worker,114,55,59,-,112,2,63,51
令和3,2021,上記以外の者,Persons other than the above,7192,4502,2690,282,2602,4308,6696,496
令和3,2021,不詳・死亡,Unknown or deceased,1,-,1,-,-,1,1,-
令和3,2021,（再掲）上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,8,5,3,-,3,5,8,-
令和3,2021,（再掲）上記就職している者のうち自営業主等無期雇用労働者,(Relisted)Among the above employed， indefinite-term employees such as self-employed persons,4,3,1,-,3,1,4,-
令和3,2021,（再掲）上記就職している者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者,(Relisted)Among the above employed， full-time employees under a one-year or longer employment contract,4,2,2,-,-,4,4,-
,,,,,,,,,,,
東京都統計年鑑（令和3年）TOKYO STATISTICAL YEARBOOK ( 2021 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （令和元～3年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2019-2021 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
注 1) 「就職者等」は，令和2年度からの調査項目である。,,,,,,,,,,,
"Note: 1)  ""Employed and others"" section was added in FY2020.",,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
