年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,736791,357951,378840
0,5571,2853,2718
1,5837,2969,2868
2,6069,3074,2995
3,5947,3032,2915
4,6141,3111,3030
5,5896,2987,2909
6,5845,3025,2820
7,5675,2922,2753
8,5963,3062,2901
9,5813,2946,2867
10,5972,3054,2918
11,5956,3156,2800
12,5867,3027,2840
13,5572,2896,2676
14,5802,2942,2860
15,6036,3094,2942
16,6100,3138,2962
17,6359,3254,3105
18,6942,3457,3485
19,7296,3760,3536
20,8019,4010,4009
21,8429,4132,4297
22,9718,4670,5048
23,10094,4793,5301
24,10523,4989,5534
25,10120,4728,5392
26,10200,4841,5359
27,10080,4901,5179
28,10014,4792,5222
29,9689,4676,5013
30,10000,4856,5144
31,9999,4849,5150
32,10111,4949,5162
33,10096,5038,5058
34,10738,5379,5359
35,10614,5290,5324
36,10545,5276,5269
37,10345,5304,5041
38,10334,5157,5177
39,10708,5510,5198
40,10641,5415,5226
41,10995,5530,5465
42,10997,5551,5446
43,11343,5735,5608
44,11843,6032,5811
45,12463,6285,6178
46,12396,6118,6278
47,12337,6162,6175
48,12132,6067,6065
49,12084,6081,6003
50,12247,6147,6100
51,11929,5994,5935
52,10432,5338,5094
53,10695,5581,5114
54,10915,5614,5301
55,10106,5117,4989
56,9608,4883,4725
57,9010,4599,4411
58,8519,4282,4237
59,8415,4315,4100
60,8007,4047,3960
61,7654,3906,3748
62,7257,3658,3599
63,6977,3570,3407
64,6930,3533,3397
65,6722,3474,3248
66,7116,3545,3571
67,7144,3500,3644
68,7629,3710,3919
69,8481,4160,4321
70,8643,4154,4489
71,9210,4387,4823
72,7382,3373,4009
73,4943,2206,2737
74,5848,2596,3252
75,7053,3097,3956
76,6609,2886,3723
77,6936,2921,4015
78,6349,2631,3718
79,5718,2334,3384
80,5007,2019,2988
81,5567,2224,3343
82,5388,2149,3239
83,5384,2110,3274
84,4785,1885,2900
85,4318,1619,2699
86,4152,1532,2620
87,3534,1251,2283
88,3000,1057,1943
89,2624,856,1768
90,2283,693,1590
91,1915,596,1319
92,1608,498,1110
93,1253,349,904
94,887,237,650
95,649,152,497
96,512,103,409
97,389,68,321
98,260,44,216
99,197,24,173
100,131,18,113
101,60,15,45
102,55,11,44
103,32,3,29
104歳以上,51,5,46
不詳者,0,0,0
3蜿ｷ"
年齢[歳],合 計[人],男性合計[人],女性合計[人]
総 数,737711,358280,379431
0,5561,2825,2736
1,5888,3016,2872
2,5961,3004,2957
3,5951,3031,2920
4,6154,3124,3030
5,5941,2989,2952
6,5870,3029,2841
7,5677,2939,2738
8,5970,3058,2912
9,5844,2955,2889
10,5927,3017,2910
11,5971,3190,2781
12,5843,2992,2851
13,5618,2937,2681
14,5816,2944,2872
15,5919,3039,2880
16,6147,3172,2975
17,6296,3204,3092
18,6901,3469,3432
19,7291,3708,3583
20,7920,3940,3980
21,8334,4126,4208
22,9660,4651,5009
23,10146,4809,5337
24,10591,5019,5572
25,10280,4844,5436
26,10201,4756,5445
27,10186,4959,5227
28,10038,4799,5239
29,9809,4732,5077
30,9961,4820,5141
31,10069,4911,5158
32,10091,4947,5144
33,10113,5014,5099
34,10611,5328,5283
35,10644,5312,5332
36,10640,5331,5309
37,10273,5223,5050
38,10394,5212,5182
39,10632,5459,5173
40,10586,5346,5240
41,10965,5546,5419
42,10948,5518,5430
43,11383,5770,5613
44,11780,5994,5786
45,12362,6221,6141
46,12516,6221,6295
47,12306,6133,6173
48,12070,6048,6022
