"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2018","総務費","720554","4.5","720554","4.4"
"2018","保険給付費","14210987","89.0","14210987","86.3"
"2018","地域支援事業費","946651","5.9","946651","5.7"
"2018","基金積立金","75370","0.5","332987","2.0"
"2018","諸支出金","5419","0.0","261814","1.6"
"2018","歳出合計","15958981","100","16472993","100"
"2019","総務費","777155","4.6",,
"2019","保険給付費","15176232","89.7",,
"2019","地域支援事業費","953190","5.6",,
"2019","基金積立金","129","0.0",,
"2019","諸支出金","4335","0.0",,
"2019","歳出合計","16911041","100",,

"令和元年度港区行政資料集　介護保険会計歳出予算","Ver201903",,,,
