受託年月日,受託市町村,受託市町村数,受託時の消防力／署所,受託時の消防力／職員,受託時の消防力／ポンプ車,受託時の消防力／化学車,受託時の消防力／はしご車,受託時の消防力／救急車,受託時の消防力／救助車
昭和35年4月1日,立川市／昭島市／国立市／小平市／国分寺市／小金井市／三鷹市／田無市／武蔵野市／保谷市／調布市／府中市／日野市／町田市／八王子市／青梅市,１６市,31,666,43,-,-,7,-
昭和45年4月1日,東村山市,１市,1,65,3,-,-,1,-
昭和48年4月1日,福生市／羽村町／瑞穂町,１市２町,3,99,4,1,-,1,-
昭和49年4月1日,狛江市／東大和市／武蔵村山市／清瀬市／秋川市／日の出町／五日市町／檜原村／奥多摩町,５市３町１村,10,413,14,2,2,6,-
昭和50年8月1日,多摩市,１市,1,100,3,1,1,2,-
平成7年9月1日,あきる野市（秋川市と五日市町が合併）,１市,-,-,-,-,-,-,-
平成13年1月21日,西東京市（保谷市と田無市合併）,１市,-,-,-,-,-,-,-
平成22年4月1日,東久留米市,１市,2,132,2,-,1,2,1
計,,２５市３町１村,48,1475,69,4,4,19,1
増強数,,,34,3116,63,8,19,54,8
航空隊,,,2,112,0,0,0,0,0
第八消防方面本部消防救助機動部隊,,,1,63,0,1,0,0,1
第九消防方面本部消防救助機動部隊,,,1,63,1,0,0,1,1
消防署所の増強等,,,30,2878,62,7,19,53,6
現有数（平成29年4月1日現在）,,,82,4591,132,12,23,73,9
