講習名１,講習名２,時間,講習内容
応急救護講習,応急救護講習,任意,心肺蘇生、自動体外式除細動器（ＡＥＤ）の使用方法、止血法及び外傷の応急手当要領等について、受講者の希望に応じ任意の時間で実施する講習
応急救護講習,救命入門コース,45分,救命講習の受講が困難な都民及び小学校４年生以上を対象にした、胸骨圧迫とＡＥＤの使用方法が中心のコース
応急救護講習,救命入門コース,90分,救命講習の受講が困難な都民及び小学校４年生以上を対象にした、胸骨圧迫とＡＥＤの使用方法が中心のコース
救命講習,普通救命講習,3時間,心肺蘇生（成人）、ＡＥＤの使用方法、窒息の手当止血の方法などを学ぶコース
救命講習,普通救命（自動体外式除細動器業務従事者）講習,4時間,普通救命講習の内容に、知識の確認と実技の評価が加わったコース（一定の頻度でＡＥＤを使用する可能性がある方が対象）
救命講習,普通救命再講習,2時間20分,技能認定の継続を希望する方が受講するコース
救命講習,普通救命ステップアップ講習,2時間,過去１２ヶ月以内に「救命入門コース（９０分）」を受講した受講生で、救命技能認定を希望する方が受講する講習
救命講習,上級救命講習,8時間,普通救命（自動体外式除細動器業務従事者）講習の内容に、心肺蘇生（小児・乳児）、けがの手当、傷病者管理、搬送法などを加えたコース
救命講習,上級救命再講習,3時間,技能認定の継続を希望する方が受講するコース
救命講習,上級救命ステップアップ講習,5時間,過去１２ヶ月以内に「普通救命講習」「普通救命再講習」を受講した方で、上級救命技能認定を希望する方が受講する講習
救命講習,応急手当普及員講習,24時間,事業所の従業員などを対象とした応急手当の指導者を養成するコース
救命講習,応急手当普及員再講習,3時間,技能認定の継続を希望する方が受講するコース
