区別,損害額（円）合計,損害額（円）建物,損害額（円）林野,損害額（円）車両,損害額（円）船舶,損害額（円）航空機,損害額（円）その他,死者,負傷者
合計,4924408207,3863595517,-,125988943,653200,920000000,14060547,83,853
特別区計,3979352250,2952770359,-,95289104,653200,920000000,10639587,52,662
千代田区,25033532,24722992,-,120547,-,-,189993,-,22
中央区,50262548,45925811,-,3608187,653200,-,75350,-,19
港区,151832646,147815406,-,3088400,-,-,928840,-,31
新宿区,261512139,260606539,-,-,-,-,905600,4,36
文京区,107874270,107836370,-,700,-,-,37200,-,12
台東区,20558200,20214100,-,135500,-,-,208600,3,19
墨田区,79280182,79269872,-,4000,-,-,6310,3,8
江東区,763033812,760526062,-,2374800,-,-,132950,1,34
品川区,55895400,53938700,-,1930800,-,-,25900,5,26
目黒区,35274388,32518518,-,2737650,-,-,18220,1,11
大田区,1021007650,94306230,-,4553322,-,920000000,2148098,4,69
世田谷区,281135249,277566749,-,564700,-,-,3003800,1,37
渋谷区,22186810,21537360,-,486000,-,-,163450,-,24
中野区,34952413,34268978,-,573650,-,-,109785,3,24
杉並区,149894284,113128824,-,36521800,-,-,243660,2,38
豊島区,35463838,28900700,-,6543400,-,-,19738,1,20
北区,109003250,107795390,-,723600,-,-,484260,3,23
荒川区,68527563,68326447,-,65016,-,-,136100,1,11
板橋区,61643664,54197614,-,6580750,-,-,865300,3,32
練馬区,116658550,110056250,-,6264700,-,-,337600,4,44
足立区,302456105,297929431,-,4466502,-,-,60172,7,60
葛飾区,106026422,98932112,-,6912600,-,-,181710,4,17
江戸川区,119839335,112449904,-,7032480,-,-,356951,2,45
受託地区計,945055957,910825158,-,30699839,-,-,3420960,31,191
八王子市,264927100,252146900,-,12415900,-,-,364300,3,31
立川市,41730462,41474362,-,250300,-,-,5800,2,6
武蔵野市,48581578,48552878,-,24500,-,-,4200,3,18
三鷹市,39032927,38845327,-,186800,-,-,800,-,11
青梅市,15813800,14884300,-,641000,-,-,288500,1,8
府中市,49699298,48173550,-,378000,-,-,1147748,2,15
昭島市,20312200,20231800,-,80300,-,-,100,1,6
調布市,22737310,20700710,-,1975500,-,-,61100,1,7
町田市,156332010,148473706,-,7511104,-,-,237200,3,16
小金井市,6331335,6319035,-,8000,-,-,4300,-,1
小平市,27224600,27158500,-,65000,-,-,1100,3,10
日野市,29236255,29145905,-,9500,-,-,80850,2,11
東村山市,9477300,8920400,-,-,-,-,556900,-,7
国分寺市,14344934,14193140,-,150000,-,-,1794,-,3
国立市,2605420,2096320,-,507500,-,-,1600,1,-
福生市,34418830,33767260,-,650670,-,-,900,-,2
狛江市,11329460,11256500,-,70100,-,-,2860,-,3
東大和市,36403462,33495910,-,2644500,-,-,263052,2,7
清瀬市,3430390,3364090,-,-,-,-,66300,-,5
東久留米市,68755318,68129618,-,500000,-,-,125700,1,5
武蔵村山市,345114,341714,-,2500,-,-,900,1,5
多摩市,1171256,140136,-,1030500,-,-,620,3,2
羽村市,5246660,5128210,-,106000,-,-,12450,-,1
あきる野市,1812030,1792230,-,-,-,-,19800,-,-
西東京市,11922037,11666897,-,151500,-,-,103640,1,10
瑞穂町,12837368,12790368,-,-,-,-,47000,-,-
日の出町,8944857,7603492,-,1340665,-,-,700,1,1
檜原村,25000,25000,-,-,-,-,-,-,-
奥多摩町,27646,6900,-,-,-,-,20746,-,-
