区分１,区分２,区分３,２８,２８,２８,２８,２８,２８,２８,２８,２８,２８,２８,２８,２８,２８
月日,,,3月28日,7月14日,8月2日5:40,8月2日11:04,8月10日,8月16～17日,8月18日,8月20日,8月22日,8月23日,8月29～30日,9月8日,9月20～21日,合計
水防活動態勢,,,水防態勢,水防第一,水防態勢,水防第一,水防第一,水防第一,水防第一,水防第一,水防第二,水防態勢,水防第一,水防第一,水防第一,
発生（発令）事由,,,大雨洪水警報等,大雨洪水警報等,大雨洪水警報等,大雨洪水警報等,大雨洪水警報等,台風７号,大雨洪水警報等,大雨洪水警報等,台風９号,大雨洪水警報等,台風１０号,台風１３号,台風１６号,
水災件数,,,0,13,0,5,3,1,1,6,201,0,1,0,1,232
被害状況,建物被害（棟数）,床上浸水,,3,,,,,,2,29,,,,,34
被害状況,建物被害（棟数）,床下浸水,,3,,4,2,,1,,109,,,,,119
被害状況,建物被害（棟数）,地下階等浸水,,3,,,1,,,2,11,,,,,17
被害状況,建物被害（棟数）,全壊,,,,,,,,,,,,,,0
被害状況,建物被害（棟数）,半壊,,,,,,,,,1,,,,,1
被害状況,建物被害（棟数）,一部損壊,,,,,,1,,,13,,1,,,15
被害状況,施設被害（箇所）,道路冠水,,5,,2,2,,,,59,,,,,68
被害状況,施設被害（箇所）,道路損壊,,,,,,,,,1,,,,,1
被害状況,施設被害（箇所）,がけ崩れ,,,,,,,,,17,,,,,17
被害状況,施設被害（箇所）,堤防決壊,,,,,,,,,,,,,,0
被害状況,施設被害（箇所）,越水,,,,,,,,,6,,,,,6
被害状況,施設被害（箇所）,堤防損壊,,,,,,,,1,,,,,,1
被害状況,施設被害（箇所）,その他,,1,,1,,,,,40,,,,1,43
被害状況,人的被害（人）,死者,,,,,,,,,,,,,,0
被害状況,人的被害（人）,行方不明,,,,,,,,,,,,,,0
被害状況,人的被害（人）,傷者,,,,,,,,,1,,,,,1
被害状況,人的被害（人）,誘導人員,,,,3,,,,,16,,,,,19
被害状況,人的被害（人）,救助人員,,1,,2,,,,,2,,,,,5
水防活動状況,作業状況,水防工法,,,,1,,,1,1,57,,,,,60
水防活動状況,作業状況,救助作業,,1,,1,,,,,1,,,,,3
水防活動状況,作業状況,排水作業,,4,,3,3,,1,4,43,,,,1,59
水防活動状況,作業状況,警戒区域設定,,,,,,,,,13,,,,,13
水防活動状況,作業状況,避難誘導,,,,,,,,,,,,,,0
水防活動状況,作業状況,流水障害,,1,,,,,,,5,,,,,6
水防活動状況,作業状況,交通障害,,,,,,,,,2,,,,,2
水防活動状況,作業状況,他機関協力,,,,,,,,,10,,,,,10
水防活動状況,作業状況,その他,,6,,,1,1,,1,30,,1,,,40
水防活動状況,出場車両（台）,,,27,,9,3,1,1,11,206,,1,,2,261
水防活動状況,出場人員,消防職員,,114,,39,13,4,5,47,858,,4,,8,1092
水防活動状況,出場人員,消防団員,,,,,10,,,,527,,,,,537
