種類,全て実施済み,全て実施済み（％）,半数以上実施,半数以上実施（％）,半数実施,半数実施（％）,一部実施,一部実施（％）,未実施,未実施（％）,家具なし,家具なし（％）,未回答,未回答（％）
書類棚,419,26.2,493,30.8,89,5.6,320,20.0,153,9.6,11,0.7,17,7.3
コピー機,210,13.1,177,11.1,44,2.8,231,14.4,757,47.3,18,1.1,165,10.3
机,99,6.2,107,6.9,42,2.6,234,14.6,923,57.6,8,0.5,189,11.8
ノートパソコン,76,4.7,82,5.1,35,2.2,253,14.5,928,57.9,59,3.7,189,11.8
デスクトップ型パソコン,117,7.3,119,7.4,64,4,334,20.9,744,46.4,42,2.6,182,11.4
サーバーラック,569,35.5,202,12.6,62,3.9,163,10.2,288,17.9,134,8.4,184,11.5
テレビ,180,11.2,191,11.9,80,5,367,22.9,561,35,52,3.3,171,10.7
電子レンジ,53,3.3,58,3.6,38,2.4,201,12.6,903,56.4,152,9.5,197,12.3
冷蔵庫,102,6.4,86,5.4,43,2.7,215,13.4,912,56.9,48,3,196,12.2
その他,30,1.9,28,1.8,6,0.4,20,1.3,40,2.5,21,1.3,1457,91
