階数（Ｆ）,対象物数（オフィス家具の転倒等が大きかったと回答された階の数）／（当該階がある建物の数）,対象物数（オフィス家具の転倒等が大きかったと回答された階の数）／（当該階がある建物の数）（％）,３階層移動平均,３階層移動平均（％）
1,１４／５４５,2.6,,
2,１４／５４４,2.6,１９．３／５４０．３,3.6
3,３０／５３５,5.6,３０．３／５３３．３,5.7
4,４７／５２４,9.0,４１．７／５２０．３,8.0
5,４８／５０５,9.5,５１．３／５００．３,10.3
6,５９／４７５,12.4,５８．３／４７５,12.3
7,６８／４４８,15.2,７１．３／４４３．３,16.1
8,８７／４１０,21.2,７６．３／４１３．３,18.5
9,７４／３８４,19.3,８０／３８０,21.1
10,７９／３４７,22.8,７７／３５０．７,22.0
11,７８／３２１,24.3,７３．７／３１２．３,23.6
12,６４／２６９,23.8,６１．３／２６９,22.8
13,４２／２１７,19.4,４７．３／２２３．３,21.2
14,３６／１８４,19.6,３５／１８２．３,19.2
15,２７／１４６,18.5,２７／１５５,17.4
16,１８／１３５,13.3,２２．３／１３４,16.6
17,２２／１２１,18.2,１９．３／１２１,16.0
18,１８／１０７,16.8,１８．３／１０５．３,17.4
19,１５／８８,17.0,１５．３／９０．３,16.9
20,１３／７６,17.1,１３／７６．７,16.9
21,１１／６６,16.7,１１／６７．３,16.3
22,９／６０,15,１０．７／６０,17.8
23,１２／５４,22.2,９．３／５４．７,17.0
24,７／５０,14,９／４８．７,18.5
25,８／４２,19.0,７．３／４２．７,17.1
26,７／３６,19.4,６．３／３６．３,17.4
27,４／３１,12.9,５．３／３２,16.6
28,５／２９,17.2,４／２８．７,13.9
29,３／２６,11.5,３．７／２５．３,14.6
30,３／２１,14.3,２．３／２０．７,11.1
31,１／１５,6.7,１．３／１６．３,8.0
32,０／１３,0,１／１３．７,7.3
33,２／１３,15.4,１／１２．７,7.9
34,１／１２,8.3,１．３／１２,10.8
35,１／１１,9.0,１／１１,9.1
36,１／１０,10,１／１０,10
37,１／９,11.1,１／９,11.1
38,１／８,12.5,１．７／８．３,20.5
39,３／８,37.5,１．３／７．７,16.9
40,０／７,0,１／６．７,14.9
41,０／５,0,０／５．７,0.0
42,０／５,0,０／４．７,0.0
43,０／４,0,０／４．３,0.0
44,０／４,0,０．３／４,7.5
45,１／４,25,０．３／４,7.5
46,０／４,0,１／４,25
47,２／４,50,０．７／３．７,18.9
４８～,０／７,0,,
Ｂ１,２／４６６,,,
Ｒ,３／５４４,,,
