"年月日[西暦]","区分","面積[ha]","割合[%]"
20040624,"第１種低層住居専用地域",0.1,0.00
20040624,"第１種中高層住居専用地域",453.5,22.30
20040624,"第２種中高層住居専用地域",100.9,4.96
20040624,"第１種住居地域",161.5,7.94
20040624,"第２種住居地域",209.0,10.28
20040624,"近隣商業地域",83.7,4.12
20040624,"商業地域",624.9,30.72
20040624,"準工業地域",360.3,17.71
20040624,"無指定面積",40.0,1.97
20180307,"第１種低層住居専用地域",0.1,0.00
20180307,"第１種中高層住居専用地域",447.6,22.01
20180307,"第２種中高層住居専用地域",101.1,4.97
20180307,"第１種住居地域",162.6,7.99
20180307,"第２種住居地域",212.0,10.42
20180307,"近隣商業地域",83.7,4.12
20180307,"商業地域",624.9,30.72
20180307,"準工業地域",361.9,17.79
20180307,"無指定面積",40.0,1.97

"平成30年度港区行政資料集　用途地域","Ver201803",,
