"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","路上や空き地にごみが散乱している[人]","公園のトイレ等に落書きがされている[人]","自転車・バイクが放置されている[人]","若者が集団でたむろしている[人]","見知らぬ人に声をかけられる[人]","違法に貼られたビラ・広告が多い[人]","客引きがいる[人]","暴力団事務所が近くにある[人]","地域の住民の連帯感が薄い[人]","近所付き合いがほとんどない[人]","その他[人]","特にない[人]"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","全体",,"658","127","89","161","80","36","65","86","42","159","170","41","155"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性（計）","248","45","41","69","33","9","29","35","16","56","60","18","57"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 18～29歳","23","4","1","5","2","1","1","3","2","6","8","1","6"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 30～39歳","35","8","4","8","8","3","6","9","5","7","7","3","8"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 40～49歳","41","7","9","9","2","3","3","8","4","8","8","6","9"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 50～59歳","49","8","7","8","9","0","5","8","1","10","7","3","18"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 60～69歳","39","11","8","16","9","1","10","6","4","10","11","2","5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 70歳以上","60","7","12","22","3","1","3","1","0","15","19","3","11"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","男性 無回答","1","0","0","1","0","0","1","0","0","0","0","0","0"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性（計）","400","81","46","90","46","26","35","50","25","101","108","23","95"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 18～29歳","28","4","3","4","2","7","0","4","2","8","9","0","8"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 30～39歳","65","12","6","8","8","5","5","7","2","15","20","7","18"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 40～49歳","95","22","12","10","10","4","6","13","7","15","21","6","28"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 50～59歳","82","16","12","22","18","8","8","16","9","21","21","5","18"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 60～69歳","55","17","6","18","3","0","7","5","4","17","15","1","9"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 70歳以上","75","10","7","28","5","2","9","5","1","25","22","4","14"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","性・年代別","無回答","10","1","2","2","1","1","1","1","1","2","2","0","3"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","自営業主・家族従業","92","22","17","27","11","4","10","10","10","17","24","1","18"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","会社員・団体職員・公務員","280","51","41","50","41","18","28","52","17","63","70","22","74"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","アルバイト・パートタイマー","58","12","4","11","6","4","8","6","2","13","13","4","11"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","家事専業","94","14","9","31","8","1","5","3","4","26","26","7","25"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","学生","20","2","0","5","1","4","1","3","4","6","8","0","5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","無職","83","20","14","24","10","5","9","10","5","22","21","3","16"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","その他","26","6","3","11","3","0","4","2","0","11","8","4","5"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","職業別","無回答","5","0","1","2","0","0","0","0","0","1","0","0","1"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","芝地区","107","22","18","30","10","6","10","15","5","21","25","6","26"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","麻布地区","140","32","21","32","23","8","19","16","12","30","31","12","31"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","赤坂地区","88","18","12","20","8","5","11","11","10","20","29","7","18"
"202003","生活安全","Q24. 普段、自分自身を脅かすのではないかと不安を感じることはありますか。（○はいくつでも）","居住地区別","高輪地区","155","24","17","40","13","8","8","15","5","42","41","11","39"
