施設名称,所在地,緯度,経度,電話番号,URL
本所警察署　,墨田区横川四丁目8番9号,35.704847,139.815074,03-5637-0110,https://www.keishicho.metro.tokyo.jp/about_mpd/shokai/ichiran/kankatsu/honjo/index.html
向島警察署,墨田区文花三丁目18番9号,35.711729,139.82726,03-3616-0110,https://www.keishicho.metro.tokyo.jp/about_mpd/shokai/ichiran/kankatsu/mukojima/index.html
本所消防署　,墨田区横川四丁目6番6号,35.703922,139.815226,03-3622-0119,https://www.tfd.metro.tokyo.lg.jp/hp-honjyo/
本所防災館,墨田区横川四丁目6番6号,35.703922,139.815226,03-3621-0119,https://tokyo-bskan.jp/bskan/honjo/
向島消防署,墨田区東向島六丁目22番3号,35.723625,139.820023,03-3619-0119,https://www.tfd.metro.tokyo.lg.jp/hp-mukoujima/
墨田都税事務所,墨田区業平一丁目7番4号,35.707803,139.809041,03-3625-5061,https://www.tax.metro.tokyo.lg.jp/jimusho/t_sumida.html
本所税務署,墨田区業平一丁目7番2号,35.707541,139.809207,03-3623-5171,https://www.nta.go.jp/about/organization/tokyo/location/tokyo/honjo/index.htm
向島税務署,墨田区東向島二丁目7番14号,35.716957,139.815593,03-3614-5231,https://www.nta.go.jp/about/organization/tokyo/location/tokyo/mukojima/index.htm
水道局墨田営業所　,墨田区千歳二丁目2番11号,35.69051,139.795701,03-5638-3140,https://www.waterworks.metro.tokyo.lg.jp/tetsuduki/madoguchi/23/sumida.html
下水道局東部第一下水道事務所墨田出張所,墨田区横網一丁目4番12号,35.69702,139.795017,03-3622-7005,https://www.gesui.metro.tokyo.lg.jp/information/opinion/kinnkyuudennwa/
向島郵便局　,墨田区東向島二丁目32番25号,35.719767,139.817301,0570-943-308,https://map.japanpost.jp/p/search/dtl/300100788000/
本所郵便局,墨田区太平四丁目21番2号,35.702642,139.817771,0570-943-955,https://map.japanpost.jp/p/search/dtl/300101001000/
東京法務局墨田出張所　,墨田区菊川一丁目17番13号,35.68987,139.801716,03-3631-1408,http://houmukyoku.moj.go.jp/tokyo/table/shikyokutou/all/sumida.html
東京簡易裁判所墨田庁舎,墨田区錦糸四丁目16番7号,35.698318,139.818312,03-5819-0267,https://www.courts.go.jp/tokyo-s/about/syozai/sumidatyosya/index.html
東京区検察庁墨田分室,墨田区錦糸四丁目16番7号,35.698318,139.818312,03-5610-0193,http://www.kensatsu.go.jp/kakuchou/tokyo/page1000023.html
警視庁交通執行課墨田分室,墨田区錦糸四丁目16番7号,35.698318,139.818312,03-3622-4660,https://www.keishicho.metro.tokyo.jp/menkyo/torishimari/tetsuzuki/sumida_b.html
錦糸町公証役場,墨田区江東橋三丁目9番7号,35.695082,139.813206,03-3631-8490,http://houmukyoku.moj.go.jp/tokyo/table/kousyou/all/kinshicho.html
向島公証役場,墨田区東向島六丁目1番3号,35.722318,139.818681,03-3612-5624,http://houmukyoku.moj.go.jp/tokyo/table/kousyou/all/mukouzima.html
東京都第五建設事務所墨田工区,墨田区堤通一丁目16番4号,35.725814,139.810888,03-3619-2583,https://www.kensetsu.metro.tokyo.lg.jp/jimusho/goken/jimsho-gaiyo/annaizu/sumida.html
墨田年金事務所,墨田区立川三丁目8番12号,35.691042,139.804712,03-3631-3111,https://www.nenkin.go.jp/section/soudan/tokyo/sumida.html
