施設名称,所在地,緯度,経度,電話番号,URL
墨田区保健所,墨田区吾妻橋一丁目23番20号 墨田区役所内,35.710722,139.801497,03-5608-1111,https://www.city.sumida.lg.jp/sisetu_info/kuyakusyo/sumidakuyakusyo.html
向島保健センター,墨田区東向島五丁目16番2号,35.725863,139.821147,03-3611-6135,https://www.city.sumida.lg.jp/sisetu_info/hoken_iryousisetu/mukouzima_hoken.html
本所保健センター,墨田区東駒形一丁目6番4号,35.705436,139.798058,03-3622-9137,https://www.city.sumida.lg.jp/sisetu_info/hoken_iryousisetu/honzyo_hoken.html
墨田区休日応急診療所,墨田区向島三丁目36番7号 すみだ福祉保健センター内,35.713317,139.810828,03-5608-3700,https://www.city.sumida.lg.jp/sisetu_info/hoken_iryousisetu/sumidakukyujituoukyu.html
すみだ平日夜間救急こどもクリニック,墨田区横網二丁目1番11号 同愛記念病院1階救急外来内,35.699784,139.794502,03-3625-1231,https://www.city.sumida.lg.jp/sisetu_info/hoken_iryousisetu/heijituyakankyukyu.html
東京都立墨東病院　,墨田区江東橋四丁目23番15号,35.694673,139.818436,03-3633-6151,http://www.bokutoh-hp.metro.tokyo.jp
社会福祉法人賛育会 賛育会病院,墨田区太平三丁目20番2号,35.702404,139.814125,03-3622-9191,https://www.san-ikukai.or.jp/sumida/hospital/
同愛記念病院,墨田区横網二丁目1番11号,35.699812,139.794349,03-3625-6381,http://www.doai.jp
医療法人財団正明会 山田記念病院,墨田区石原二丁目20番1号,35.700995,139.800764,03-3624-1151,http://www.yamada-kinenhp.jp
医療法人伯鳳会 東京曳舟病院,墨田区東向島二丁目27番1号,35.717706,139.817028,03-5655-1120,http://tokyo-hikifune-hp.jp
医療法人社団隆靖会 墨田中央病院,墨田区京島三丁目67番1号,35.713006,139.826341,03-3617-1414,http://www.sumida-chuou-hospital.or.jp
東京都済生会 向島病院,墨田区八広一丁目5番10号,35.720624,139.822283,03-3610-3651,https://www.saiseikai-mkj.jp/
医療法人社団仁寿会 中村病院,墨田区八広二丁目1番1号,35.717419,139.823686,03-3612-7131,http://www.jinjukai.or.jp
東京都リハビリテーション病院,墨田区堤通二丁目14番1号,35.735863,139.815807,03-3616-8600,http://www.tokyo-reha.jp
湘南メディカル記念病院,墨田区両国二丁目21番1号,35.695552,139.792458,03-3634-6111,https://www.sbc-hospital.jp/
医療法人社団 中林病院,墨田区東向島三丁目29番9号,35.723617,139.814957,03-3614-4641,http://www.nakabayashi-hp.com
医療法人社団敬智会 梶原病院,墨田区墨田三丁目31番12号,35.732322,139.820372,03-3614-2255,http://www.kajiwara-hospital.com
