施設名称,所在地,緯度,経度,電話番号,URL
東京スカイツリー,墨田区押上一丁目1番2号,35.710063,139.8107,0570-55-0634,https://www.tokyo-skytree.jp/
一般社団法人　墨田区観光協会,墨田区押上一丁目1番2号　東京スカイツリータウン・ソラマチ5階　産業観光プラザ すみだ まち処内 ,35.710341,139.811963,03-5608-6951,https://visit-sumida.jp/
産業観光プラザ すみだ まち処,墨田区押上一丁目1番2号　東京スカイツリータウン・ソラマチ5階,35.710341,139.811963,03-6796-6341,https://machidokoro.com/
両国観光案内所 ,墨田区横網一丁目3番20号　-両国-江戸NOREN1階,35.696155,139.792423,03-5637-7551,https://visit-sumida.jp/spot/6196/
江戸東京博物館内墨田区文化観光コーナー,墨田区横網一丁目4番1号,35.696599,139.7959929,03-3626-0721,https://visit-sumida.jp/spot/6197/
すみだトリフォニーホール,墨田区錦糸一丁目2番3号,35.697215,139.8101,03-5608-5400,https://www.triphony.com/
江戸東京博物館,墨田区横網一丁目4番1号,35.696593,139.795855,03-3626-9974,https://www.edo-tokyo-museum.or.jp
両国花火資料館,墨田区両国二丁目10番8号,35.693888,139.791756,03-5608-6951,https://visit-sumida.jp/spot/6036/
東京都復興記念館,墨田区横網二丁目3番25号,35.699826,139.796895,03-3622-1208,https://tokyoireikyoukai.or.jp/museum/history.html
相撲博物館,墨田区横網一丁目3番28号,35.697228,139.793365,03-3622-0366,https://www.sumo.or.jp/KokugikanSumoMuseum/index
東武博物館,墨田区東向島四丁目28番16号,35.724491,139.819319,03-3614-8811,https://www.tobu.co.jp/museum/
すみだ郷土文化資料館,墨田区向島二丁目3番5号,35.7139,139.805885,03-5619-7034,https://www.city.sumida.lg.jp/sisetu_info/siryou/kyoudobunka/index.html
立花大正民家園・旧小山家住宅,墨田区立花六丁目13番17号,35.709865,139.838094,03-3611-4518,https://www.city.sumida.lg.jp/sisetu_info/siryou/tatibanataisyou/index.html
すみだ北斎美術館,墨田区亀沢二丁目7番2号,35.696361,139.800515,03-6658-8936,https://hokusai-museum.jp
たばこと塩の博物館,墨田区横川一丁目16番3号,35.70575,139.808532,03-3622-8801,https://www.tabashio.jp/index.html
刀剣博物館,墨田区横網一丁目12番9号,35.698874,139.793726,03-6284-1000,https://www.touken.or.jp/museum/
