施設名称,所在地,緯度,経度,電話番号,URL
羽子板の鴻月,墨田区向島五丁目43番25号,35.719107,139.812307,03-3623-1305,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/hagoita.html
塚田工房,墨田区向島二丁目11番7号,35.715962,139.809533,03-3622-4579,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/edokimekomi.html
江戸木箸 大黒屋,墨田区東向島二丁目4番8号,35.717513,139.814615,03-3611-0163,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/edokibasi.html
向島めうがや,墨田区向島五丁目27番16号,35.716287,139.809448,03-3626-1413,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/myougaya.html
江戸小紋染 大松染工場,墨田区八広二丁目27番10号,35.717538,139.825997,03-3611-5019,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/edokomonn.html
片岡屏風店,墨田区向島一丁目31番6号,35.710437,139.807704,03-3622-4470,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/byoubu.html
ヒズファクトリー,墨田区吾妻橋一丁目16番5号,35.709138,139.800541,03-5619-1602,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/hisfactory.html
Stadt Weide（シュタット ヴァイテ）,墨田区横川四丁目8番21号,35.704578,139.81499,03-3621-2781,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/stadtweide.html
アトリエ創藝館,墨田区横川三丁目8番2号,35.703811,139.813041,03-3622-2381,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/atoriesougeikann.html
すみだ江戸切子館,墨田区太平二丁目10番9号,35.701266,139.813036,03-3623-4148,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/edokirikokann.html
東あられ本鋪両国本店,墨田区亀沢二丁目15番10号,35.697329,139.800902,03-3624-9733,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/azumaararehonnpo.html
磯貝べっ甲専門店,墨田区横網二丁目5番5号,35.700634,139.795693,03-3625-5875,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/bekkou.html
むさしや豊山,墨田区石原一丁目28番3号,35.70066,139.79737,03-3622-0262,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/musasiyahouzann.html
大関鞄工房,墨田区緑二丁目13番5号,35.694473,139.800686,03-5669-1408,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/oozekikabannkoubou.html
おみねらたん,墨田区押上二丁目10番15号,35.711274,139.812143,03-3623-0433,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/omineratann.html
硝子企画舎,墨田区押上三丁目6番1号,35.713568,139.816975,03-3610-8255,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/garasukikakusya.html
かざり工芸三浦,墨田区東駒形三丁目22番7号,35.707865,139.802976,03-6751-8858,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kazarikannzasi.html
