施設名称,所在地,緯度,経度,電話番号,URL
墨田区福祉事務所,墨田区吾妻橋一丁目23番20号　墨田区役所内,35.710722,139.801497,03-5608-1111,https://www.city.sumida.lg.jp/sisetu_info/kuyakusyo/sumidakuyakusyo.html
社会福祉会館,墨田区東墨田二丁目7番1号,35.718986,139.830341,03-3619-1051,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/syakaihukusikaikan.html
すみだ福祉保健センター,墨田区向島三丁目36番7号,35.713253,139.810724,03-5608-3711,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/sumidahukusihoken.html
すみだ福祉サービス権利擁護センター,墨田区東向島二丁目17番14号　すみだボランティアセンター内,35.718436,139.815564,03-5655-2940,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/sumidahukusiservicekenri.html
社会福祉法人墨田区社会福祉協議会,墨田区東向島二丁目17番14号　すみだボランティアセンター内,35.718436,139.815564,03-3614-3900,https://www.sumida-shakyo.or.jp
シルバープラザ梅若,墨田区墨田一丁目4番4号,35.729285,139.815412,03-5630-8008,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/sirubapurazaumewaka.html
特別養護老人ホーム たちばなホーム,墨田区立花三丁目10番1号,35.705338,139.833116,03-3613-8718,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム はなみずきホーム,墨田区八広三丁目22番14号,35.718382,139.827984,03-3617-8734,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム なりひらホーム,墨田区業平五丁目6番2号,35.707082,139.817985,03-5819-3741,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム 東京清風園,墨田区立花一丁目25番12号,35.705136,139.8310043,03-6861-8771,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム 同愛記念ホーム,墨田区横網二丁目1番11号,35.700231,139.794567,03-3625-6391,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム 和翔苑,墨田区八広六丁目55番17号,35.724003,139.830987,03-3617-1501,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム ケアホームズ両国,墨田区両国二丁目5番13号,35.692823,139.792454,03-5624-4165,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム 寿老の里,墨田区東墨田三丁目13番4号,35.720703,139.8360362,03-6657-0310,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
特別養護老人ホーム 木下川吾亦紅,墨田区東墨田二丁目15番2号,35.721849,139.833311,03-5247-4165,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/tokuyouhoumu.html
すみだ福祉保健センター・高齢者在宅サービスセンター,墨田区向島三丁目36番7号,35.713277,139.810703,03-5608-3712,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/sumidahukusihoken.html
うめわか高齢者在宅サービスセンター,墨田区墨田一丁目4番4号　シルバープラザ梅若内,35.729211,139.815316,03-5630-8008,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/umewakakoureisya.html
たちばな高齢者在宅サービスセンター　,墨田区立花三丁目2番9号,35.705247,139.832576,03-3617-8341,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/tatibanakoureisya.html
なりひら高齢者在宅サービスセンター,墨田区業平五丁目6番2号,35.707179,139.817988,03-5819-3741,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/narihirakoureisya.html
はなみずき高齢者在宅サービスセンター,墨田区八広三丁目22番14号,35.718477,139.827982,03-3617-8734,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/hanamizukikoureisya.html
高齢者在宅サービスセンター同愛記念ホーム,墨田区横網二丁目1番11号,35.700318,139.794368,03-3625-6391,https://www.city.sumida.lg.jp/sisetu_info/hukusisisetu/koureisyazaitaku/douaikinenhoumu.html
