施設名称,所在地,緯度,経度,電話番号,URL
墨田中学校,墨田区向島四丁目25番22号,35.714953,139.811528,03-3625-0351,https://www.sumida.ed.jp/sumidachu/
本所中学校,墨田区東駒形三丁目1番10号,35.705289,139.802817,03-3625-0355,https://www.sumida.ed.jp/honjochu/
両国中学校,墨田区横網一丁目8番1号,35.697477,139.796161,03-3625-0361,https://www.sumida.ed.jp/ryogokuchu/
竪川中学校,墨田区亀沢四丁目11番15号,35.697029,139.805913,03-3625-0365,https://www.sumida.ed.jp/tatekawachu/
錦糸中学校,墨田区石原四丁目33番14号,35.701414,139.806942,03-3625-0375,https://www.sumida.ed.jp/kinshichu/
吾嬬第二中学校,墨田区八広四丁目4番4号,35.721514,139.82712,03-3617-2180,https://www.sumida.ed.jp/azumanichu/
寺島中学校,墨田区八広一丁目17番15号,35.720131,139.823186,03-3617-0537,https://www.sumida.ed.jp/terajimachu/
文花中学校,墨田区文花一丁目22番7号,35.710217,139.822281,03-3617-0264,https://www.sumida.ed.jp/bunkachu/
桜堤中学校,墨田区堤通二丁目19番1号,35.730445,139.811928,03-3616-5630,https://www.sumida.ed.jp/sakuratsutsumichu/index.html
吾嬬立花中学校,墨田区立花五丁目48番2号,35.712679,139.831863,03-3616-2271,https://www.sumida.ed.jp/azutachichu/
