施設名,施設名カナ,住所,URL,電話番号,経度,緯度
チェリッシュ曳舟,チェリッシュヒキフネ,墨田区京島一丁目36番1号,http://www.child-stage.co.jp/hikifune/,03-6657-3309,139.819611,35.717145
あい・あい保育園小村井園,アイ・アイホイクエンオムライエン,墨田区立花五丁目24番11号,http://aiai.globalbridge.biz/facilities/detail/omurai.shtml,03-5631-3140,139.8305581,35.7111135
ぶどうの木保育室,ブドウノキホイクシツ,墨田区東駒形四丁目4番8号,http://fukushi.unchusha.com/budou/index.html,03-3626-4360,139.80511,35.705506
八広ぶどうの木保育室,ヤヒロブドウノキホイクシツ,墨田区八広六丁目37番5号,http://fukushi.unchusha.com/yahiroBudou/,03-6657-1157,139.82901,35.725938
ちゃのま保育園,チャノマホイクエン,墨田区横川四丁目9番8号,http://www.chanoma-hoikuen.jp/,03-6240-4332,139.8160458,35.7051553
キャリー保育園東向島,キャリーホイクエンヒガシムコウジマ,墨田区東向島5-36-10,http://www.mcc-ke.com/service.html,03-3613-5115,139.823158,35.727296
じょうえん第2保育園,ジョウエンダイニホイクエン,墨田区京島1-6-6-105,http://www.johen.jp/,03-6657-1146,139.818508,35.716579
じょうえん第3保育園,ジョウエンダイサンホイクエン,墨田区京島1-6-6-106,http://www.johen.jp/,03-6657-1146,139.818572,35.716684
墨田みどり保育園　第一大横川園,スミダミドリホイクエンダイイチオオヨコカワエン,墨田区緑四丁目2番8号先,,03-3634-2011,139.808686,35.693009
墨田みどり保育園　第二大横川園,スミダミドリホイクエンダイニオオヨコカワエン,墨田区緑四丁目2番8号先,,03-3634-2011,139.808686,35.693009
未来っ子保育園東向島園,ミライッコホイクエンヒガシムコウジマエン,墨田区東向島五丁目18番1号,,03-3618-8270,139.821553,35.725943
