施設名称,所在地,緯度,経度,電話番号,URL
軟式野球資料室,墨田区墨田二丁目34番9号,35.730422,139.818366,03-3614-3501,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/nannsikibaseball.html
江戸小紋博物館,墨田区八広二丁目27番10号,35.717538,139.825997,03-3611-5019,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/edokomonn.html
藍染博物館,墨田区京島一丁目29番1号,35.716808,139.821071,03-3611-6760,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/aizome.html
羽子板資料館,墨田区向島五丁目43番25号,35.719107,139.812307,03-3623-1305,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/hagoita.html
江戸木目込人形博物館,墨田区向島二丁目11番7号,35.715962,139.809533,03-3622-4579,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/edokimekomi.html
漆工博物館,墨田区向島三丁目38番10号,35.713849,139.81184,03-3622-1626,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/sikkou.html
屏風博物館,墨田区向島一丁目31番6号,35.710437,139.807704,03-3622-4470,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/byoubu.html
ちいさな硝子の本の博物館,墨田区吾妻橋一丁目19番8号,35.708883,139.802089,03-6240-4065,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/glassbooksmuseum.html
乾燥木材工芸資料館,墨田区錦糸二丁目9番11号,35.698896,139.812921,03-3625-2401,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kannsoumokuzaikougei.html
ブレーキ博物館,墨田区堤通一丁目7番9号,35.724391,139.811212,03-6657-0347,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/brakemuseum.html
NTTドコモ歴史展示スクエア,墨田区横網一丁目9番2号 NTTドコモ墨田ビル1階,35.698257,139.795749,03-6658-3535,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/docomorekisitennzi.html
相撲写真資料館,墨田区両国三丁目13番2号,35.693513,139.793794,03-3631-2150,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/sumousyasinn.html
桐の博物館,墨田区両国四丁目1番8号,35.692315,139.797088,03-3632-0341,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kirinomuseum.html
袋物博物館,墨田区両国一丁目1番7号,35.692014,139.790718,03-3631-6353,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/hukuromonomuseum.html
折箱博物館「木具輪」,墨田区立川一丁目3番5号,35.690411,139.798381,03-3631-7785,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/oribakomuseum.html
金庫と鍵の博物館,墨田区千歳三丁目4番1号,35.689187,139.797345,03-3633-9151,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kinnkotokagimuseum.html
建築道具・木組資料館,墨田区菊川一丁目5番3号,35.689156,139.800433,03-3633-0328,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kenntikudougukigumi.html
名刺と紙製品の博物館,墨田区立川三丁目1番7号3階,35.690237,139.803858,03-5625-0630,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/sakuraterrace.html
指物博物館,墨田区立川四丁目6番5号1階,35.690838,139.806897,03-6315-8546,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/sasimonomuseum.html
フットマークギャラリー,墨田区緑二丁目7番12号,35.693308,139.800993,03-3846-3382,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/footmarkgallery.html
江戸表具博物館,墨田区千歳三丁目5番11号,35.689525,139.797925,03-3631-0508,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/edohyougumuseum.html
錺かんざし博物館,墨田区東駒形三丁目22番7号,35.707898,139.802987,03-6751-8858,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/kazarikannzasi.html
鍼灸あん摩博物館,墨田区千歳一丁目8番2号 杉山和一記念館内,35.691437,139.792693,03-3634-1055,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/nanbu/harikyuuannmamuseum.html
やさしい革の博物館,墨田区東墨田3-11-10 RUSSETY FACTORY1階,35.722973,139.834799,03-3617-3868,https://www.city.sumida.lg.jp/sangyo_jigyosya/sangyo/pr_brand_hyousyo/sumida3m/tiiki/hokubu/leathermuseum.html
