施設名称,所在地,緯度,経度,電話番号,URL
曳舟文化センター,墨田区京島一丁目38番11号,35.718293,139.818762,03-3616-3951,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/hikibunec.html
すみだリバーサイドホール,墨田区吾妻橋一丁目23番20号,35.710228,139.801599,03-5608-6430,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/sumidariversidehall/index.html
東駒形コミュニティ会館　,墨田区東駒形四丁目14番1号,35.705517,139.807746,03-3623-1141,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/higashikomagata/index.html
梅若橋コミュニティ会館,墨田区堤通二丁目9番1号,35.735335,139.816746,03-3616-1101,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/umewakabashi/index.html
横川コミュニティ会館,墨田区横川五丁目9番1号,35.705116,139.81758,03-5608-4500,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/communitykaikan/yokokawa/index.html
みどりコミュニティセンター,墨田区緑三丁目7番3号,35.693598,139.803278,03-5600-5811,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/midori_communityc.html
東墨田会館,墨田区東墨田二丁目12番9号,35.721384,139.832596,03-3612-0286,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/east_sumida.html
すみだ女性センター,墨田区押上二丁目12番7号111号室,35.712706,139.811982,03-5608-1771,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/sumida_zyoseicenter/index.html
ユートリヤ（すみだ生涯学習センター）,墨田区東向島二丁目38番7号,35.721049,139.818306,03-5247-2001,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/yutoriya/index.html
八広地域プラザ「吾嬬の里」,墨田区八広四丁目35番17号,35.723165,139.829377,03-6657-0471,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/yahiro_chiikiplaza/index.html
本所地域プラザ「BIG SHIP」,墨田区本所一丁目13番4号,35.703121,139.798799,03-6658-4601,https://www.city.sumida.lg.jp/sisetu_info/tamokuteki/plaza/honjyo_chiikiplaza/index.html
