施設名称,所在地,緯度,経度,電話番号,URL
両国高等学校,墨田区江東橋一丁目7番14号,35.694493,139.810071,03-3631-1815,http://www.ryogoku-h.metro.tokyo.jp
本所高等学校,墨田区向島三丁目37番25号,35.714604,139.811228,03-3622-0344,http://www.honjo-h.metro.tokyo.jp
墨田川高等学校,墨田区東向島三丁目34番14号,35.721853,139.816253,03-3611-2125,http://www.sumidagawa-h.metro.tokyo.jp
日本橋高等学校,墨田区八広一丁目28番21号,35.719968,139.823889,03-3617-1811,http://www.nihonbashi-h.metro.tokyo.jp
橘高等学校,墨田区立花四丁目29番7号,35.709339,139.833663,03-3617-8311,https://www.metro.ed.jp/tachibana-h/
日本大学第一高等学校,墨田区横網一丁目5番2号,35.697431,139.796884,03-3625-0026,https://www.nichidai-1.ed.jp
安田学園高等学校,墨田区横網二丁目2番25号,35.699879,139.795841,03-3624-2666,https://www.yasuda.ed.jp
立志舎高等学校,墨田区太平二丁目9番6号,35.700831,139.812937,03-5608-1033,https://www.risshisha.ed.jp
都立墨田特別支援学校,墨田区八広五丁目10番2号,35.725189,139.825215,03-3619-4851,http://www.sumida-sh.metro.tokyo.jp
情報経営イノベーション専門職大学（iU）,墨田区文花一丁目18番13号,35.711501,139.823724,03-5655-1555,https://www.i-u.ac.jp/
千葉大学墨田サテライトキャンパス,墨田区文花一丁目19番1号,35.710546,139.823586,,https://www.chiba-u.ac.jp/
専門学校アニメ・アーティスト・アカデミー,墨田区両国二丁目17番5号,35.701434,139.800091,03-6658-8086,https://aaa.shirahagi.ac.jp/
了徳寺学園医療専門学校,墨田区両国四丁目27番4号,35.694228,139.795045,03-3846-5151,https://ryotokuji.ac.jp/
東京環境工科専門学校,墨田区江東橋三丁目3番7号,35.693698,139.814082,03-5625-6400,https://tce.ac.jp/
東京医学技術専門学校,墨田区横網一丁目10番8号,35.698389,139.794838,03-3626-4111,http://www.tokyo-igaku.com
専門学校日本鉄道＆スポーツビジネスカレッジ21,墨田区錦糸一丁目2番1号,35.697383,139.811391,03-3624-5444,https://www.nihonschool21.ac.jp
専門学校日本動物21,墨田区錦糸一丁目11番10号,35.698638,139.809552,03-3624-7885,https://www.nihondoubutsu21.ac.jp
東京IT会計専門学校,墨田区錦糸二丁目13番7号,35.699337,139.813195,03-3624-5442,https://www.tokyo-itkaikei.ac.jp
東京法律専門学校,墨田区太平一丁目9番8号,35.699996,139.811583,03-3624-5443,https://www.tokyo-horitsu.ac.jp
東京墨田看護専門学校,墨田区東向島五丁目6番6号,35.725901,139.820798,03-5655-0860,https://www.sanko.ac.jp/tokyo-nurse/
秀林日本語学校,墨田区両国一丁目2番3号,35.692668,139.789872,03-3632-1071,https://japanese.shurin.ac.jp/
東京明生日本語学院,墨田区緑一丁目2番10号,35.692692,139.798528,03-6659-4499,https://www.tokyo-meisei.ac.jp/
東京朝鮮第五初中級学校,墨田区八広五丁目22番15号,35.722842,139.825782,03-3617-7911,
向島珠算学校,墨田区墨田三丁目21番17号,35.730665,139.821637,03-3612-1305,
渡辺珠算学校,墨田区横川四丁目10番2号,35.705491,139.815751,03-3611-3034,
