"区分","統括参事[人]","参事[人]","統括課長[人]","副参事[人]","課長補佐[人]","係長[人]","主査[人]","主任[人]","主事[人]","校・園長[人]","副校・園長[人]","主幹教諭[人]","主任教諭[人]","教諭[人]","計[人]"
"現員合計(1)＋(2)","0","19","21","52","78","319","87","739","701","13","3","4","17","49","2102"
"定数外 自治法上派遣","0","0","0","0","0","2","0","7","5","3","0","0","1","1","19"
"定数外 休職､結核休養","0","0","0","0","0","0","2","5","13","0","1","0","0","0","21"
"定数外 育休､公務災害","0","0","0","0","0","1","0","18","35","0","0","0","1","3","58"
"定数外 派遣法による派遣","0","0","0","2","1","6","0","0","0","0","0","0","0","0","9"
"定数外 派遣交流","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"定数外 配偶者同行休業","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"定数外 計","0","19","21","54","79","328","89","769","755","16","4","4","19","53","2210"

"令和2年度港区行政資料集　職員数総括表","Ver202004",,,,,,,,,,,,,,
