 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,688,"12,400,983",397,"10,193,929",291,"2,207,054","3,695,844","3,484,815","757,453","2,727,362","211,029","129,078","81,951"
,90.8%,93.9%,93.4%,93.6%,87.4%,95.4%,87.0%,87.4%,68.3%,94.7%,81.5%,94.6%,66.8%
,"4,094","73,481,537","2,337","60,841,073","1,757","12,640,464","23,516,871","22,192,944","5,495,483","16,697,461","1,323,927","775,639","548,288"
,94.4%,96.0%,95.0%,95.3%,93.7%,99.9%,96.9%,97.0%,92.9%,98.4%,95.3%,102.8%,86.3%
品川岸壁,142,"1,676,526",75,"756,049",67,"920,477","309,929","309,929","57,504","252,425",-,-,-
,96.6%,102.9%,94.9%,95.1%,98.5%,110.3%,88.7%,88.7%,84.4%,89.8%,-,-,-
,839,"9,796,115",449,"4,483,144",390,"5,312,971","1,921,059","1,921,053","338,673","1,582,380",6,6,-
,100.2%,106.3%,101.8%,101.4%,98.5%,110.9%,94.5%,94.5%,86.7%,96.4%,-,-,-
10号西岸壁,68,"745,265",-,-,68,"745,265","38,890",-,-,-,"38,890","25,670","13,220"
,85.0%,82.1%,-,-,85.0%,82.1%,94.5%,-,-,-,94.5%,92.9%,97.9%
,367,"4,109,190",-,-,367,"4,109,190","226,974",-,-,-,"226,974","149,338","77,636"
,88.6%,91.2%,-,-,88.6%,91.2%,97.4%,-,-,-,97.4%,95.0%,102.2%
青海コンテナふ頭（公共）,102,"1,294,181",71,"1,273,962",31,"20,219","631,637","620,598","122,883","497,715","11,039","9,735","1,304"
,81.6%,79.1%,78.9%,79.0%,88.6%,89.0%,77.0%,77.4%,71.8%,79.0%,60.4%,105.5%,14.4%
,648,"8,186,085",445,"8,014,619",203,"171,466","4,045,954","3,943,940","729,156","3,214,784","102,014","75,197","26,817"
,91.3%,91.6%,88.6%,91.4%,97.6%,103.1%,94.2%,93.8%,91.4%,94.4%,110.6%,134.4%,73.9%
青海コンテナふ頭(埠頭㈱),28,"1,188,420",23,"1,184,925",5,"3,495","259,529","247,384","38,288","209,096","12,145","12,145",-
,37.8%,56.2%,33.8%,56.2%,83.3%,87.5%,44.1%,43.2%,28.7%,47.7%,73.4%,91.1%,-
,285,"8,824,377",249,"8,782,638",36,"41,739","2,539,164","2,465,495","550,828","1,914,667","73,669","73,249",420
,70.9%,79.5%,67.5%,79.3%,109.1%,153.7%,76.7%,76.5%,78.4%,75.9%,87.8%,108.6%,2.6%
お台場ライナーふ頭,8,"57,099",-,-,8,"57,099",-,-,-,-,-,-,-
,57.1%,60.0%,-,-,61.5%,91.2%,-,-,-,-,-,-,-
,72,"461,110",2,"65,102",70,"396,008","2,144","2,144",431,"1,713",-,-,-
,67.9%,77.7%,40.0%,40.0%,69.3%,92.0%,18.4%,18.4%,15.1%,19.5%,-,-,-
大井コンテナふ頭,222,"5,856,920",150,"5,772,481",72,"84,439","1,855,293","1,793,329","457,572","1,335,757","61,964","26,766","35,198"
,87.1%,95.1%,93.2%,95.5%,76.6%,71.8%,85.8%,86.8%,67.1%,96.5%,64.0%,83.3%,54.4%
,"1,398","36,197,922",927,"35,635,153",471,"562,769","12,461,866","12,008,122","3,515,658","8,492,464","453,744","184,970","268,774"
,93.7%,94.7%,95.6%,95.0%,90.2%,76.2%,97.2%,97.5%,92.8%,99.6%,88.3%,101.7%,81.0%
その他,118,"1,582,572",78,"1,206,512",40,"376,060","600,566","513,575","81,206","432,369","86,991","54,762","32,229"
,187.3%,238.0%,300.0%,401.4%,108.1%,103.2%,209.0%,255.6%,151.7%,293.3%,100.8%,101.2%,100.1%
,485,"5,906,738",265,"3,860,417",220,"2,046,321","2,319,710","1,852,190","360,737","1,491,453","467,520","292,879","174,641"
,129.7%,150.6%,154.1%,200.7%,108.9%,102.4%,147.8%,167.9%,153.3%,171.9%,100.2%,100.4%,100.0%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
