 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,661 ","14,121,563 ","10,460 ","84,036,015 ",420 ,"10,507,071 ","2,460 ","62,396,258 ","1,241 ","3,614,492 ","8,000 ","21,639,757 "
公共計,886 ,"5,293,329 ","5,534 ","30,979,489 ",158 ,"2,254,035 ",955 ,"13,456,994 ",728 ,"3,039,294 ","4,579 ","17,522,495 "
ドルフィン,4 ,"2,493 ",29 ,"17,437 ",-,-,-,-,4 ,"2,493 ",29 ,"17,437 "
芝浦ふ頭,24 ,"69,244 ",173 ,"445,283 ",-,-,-,-,24 ,"69,244 ",173 ,"445,283 "
芝浦物揚場,23 ,"10,580 ",142 ,"65,320 ",-,-,-,-,23 ,"10,580 ",142 ,"65,320 "
日の出ふ頭,8 ,"5,662 ",43 ,"29,777 ",-,-,-,-,8 ,"5,662 ",43 ,"29,777 "
竹芝ふ頭,81 ,"315,592 ",745 ,"2,027,431 ",-,-,-,-,81 ,"315,592 ",745 ,"2,027,431 "
品川岸壁,146 ,"1,680,998 ",864 ,"9,829,624 ",75 ,"756,049 ",449 ,"4,483,144 ",71 ,"924,949 ",415 ,"5,346,480 "
 品川コンテナ,75 ,"705,794 ",454 ,"4,243,016 ",71 ,"701,322 ",429 ,"4,209,507 ",4 ,"4,472 ",25 ,"33,509 "
 品川外貿,4 ,"54,727 ",20 ,"273,637 ",4 ,"54,727 ",20 ,"273,637 ",-,-,-,-
 品川内貿,67 ,"920,477 ",390 ,"5,312,971 ",-,-,-,-,67 ,"920,477 ",390 ,"5,312,971 "
晴海ふ頭,3 ,"10,144 ",13 ,"59,904 ",-,-,1 ,"22,472 ",3 ,"10,144 ",12 ,"37,432 "
月島ふ頭,23 ,"6,955 ",134 ,"40,346 ",-,-,-,-,23 ,"6,955 ",134 ,"40,346 "
漁業基地,-,-,2 ,"2,872 ",-,-,-,-,-,-,2 ,"2,872 "
