 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"272,469","126,939","251,107","116,072","65,302","115,654","185,805",418,"21,362","10,867","11,741","9,030","9,621","1,837"
,88.4%,95.7%,88.7%,100.4%,76.2%,100.9%,94.2%,45.8%,84.4%,63.7%,104.0%,58.7%,68.6%,110.0%
,"1,673,511","671,933","1,543,077","585,707","423,036","579,139","1,120,041","6,568","130,434","86,226","69,750","75,663","60,684","10,563"
,95.5%,97.0%,95.4%,100.3%,93.9%,99.9%,96.0%,149.8%,96.5%,79.3%,111.2%,78.3%,83.9%,86.7%
品川岸壁,"22,051","13,530","22,051","12,730","4,725","12,652","17,326",78,-,800,-,796,-,4
,89.4%,81.9%,89.4%,93.0%,88.0%,93.1%,89.8%,86.7%,-,28.2%,-,28.0%,-,-
,"133,199","84,975","133,197","75,906","26,618","75,283","106,579",623,2,"9,069",1,"9,030",1,39
,93.1%,89.6%,93.3%,94.1%,87.5%,94.0%,94.9%,110.9%,0.6%,63.8%,-,64.6%,0.3%,18.1%
10号西岸壁,"3,842",457,-,-,-,-,-,-,"3,842",457,"2,336",-,"1,506",457
,93.6%,91.6%,-,-,-,-,-,-,93.6%,91.6%,91.9%,-,96.5%,91.6%
,"22,416","2,865",-,-,-,-,-,-,"22,416","2,865","13,526",32,"8,890","2,833"
,97.3%,60.3%,-,-,-,-,-,-,97.3%,60.3%,96.3%,82.1%,99.0%,60.2%
青海コンテナふ頭（公共）,"44,780","21,066","43,535","18,667","9,713","18,562","33,822",105,"1,245","2,399","1,108","2,235",137,164
,76.4%,75.6%,77.1%,83.9%,73.4%,84.5%,78.2%,35.4%,59.2%,42.8%,127.6%,40.6%,11.1%,157.7%
,"283,924","131,858","273,541","113,880","56,228","112,334","217,313","1,546","10,383","17,978","7,767","17,497","2,616",481
,91.5%,84.2%,91.3%,90.7%,91.5%,90.3%,91.3%,132.0%,96.8%,57.9%,130.9%,56.9%,54.6%,162.5%
青海コンテナふ頭(埠頭㈱),"17,803","10,955","17,356","10,508","3,165","10,502","14,191",6,447,447,447,447,-,-
,43.5%,41.3%,43.1%,41.7%,30.5%,41.8%,47.5%,8.7%,67.2%,33.8%,86.1%,33.8%,-,-
,"168,907","76,003","166,053","68,149","41,035","68,031","125,018",118,"2,854","7,854","2,854","7,854",-,-
,73.4%,63.0%,73.3%,59.6%,77.0%,59.7%,72.2%,41.3%,77.9%,122.6%,106.4%,122.6%,-,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,134,72,134,72,15,-,119,72,-,-,-,-,-,-
,22.9%,30.0%,22.9%,30.0%,-,-,20.3%,30.0%,-,-,-,-,-,-
大井コンテナふ頭,"140,272","53,386","132,783","48,935","41,403","48,716","91,380",219,"7,489","4,451","2,995","4,365","4,494",86
,88.6%,105.5%,89.8%,108.4%,78.4%,108.8%,96.0%,62.2%,72.4%,81.4%,118.4%,81.0%,57.5%,104.9%
,"891,593","284,155","839,333","244,039","270,362","239,938","568,971","4,101","52,260","40,116","20,637","39,195","31,623",921
,96.2%,107.8%,96.1%,110.0%,94.1%,109.2%,97.1%,193.6%,97.7%,96.0%,141.9%,94.6%,81.2%,244.9%
その他,"43,721","27,545","35,382","25,232","6,296","25,222","29,086",10,"8,339","2,313","4,855","1,187","3,484","1,126"
,201.1%,261.4%,259.6%,273.8%,159.1%,273.9%,300.7%,200.0%,102.8%,175.1%,100.5%,353.3%,106.1%,114.3%
,"173,338","92,005","130,819","83,661","28,778","83,553","102,041",108,"42,519","8,344","24,965","2,055","17,554","6,289"
,146.9%,177.5%,176.5%,202.8%,162.1%,202.5%,181.0%,"1,350.0%",96.9%,78.9%,97.8%,51.5%,95.6%,95.5%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
