（輸出）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"881,807",75.9%,"5,863,699",94.9%,100.0%
1,アメリカ,"144,358",51.8%,"1,282,246",85.4%,21.9%
2,中国,"202,889",70.4%,"1,237,701",80.3%,21.1%
,(香港),"28,859",77.6%,"193,385",93.6%,3.3%
3,ベトナム,"183,345",210.9%,"777,343",172.2%,13.3%
4,タイ,"51,962",63.1%,"414,097",100.3%,7.1%
5,台湾,"67,313",119.5%,"372,781",130.9%,6.4%
6,韓国,"35,223",45.5%,"230,433",68.3%,3.9%
7,オランダ,"31,942",82.2%,"228,260",96.1%,3.9%
8,インドネシア,"19,232",51.2%,"194,907",103.2%,3.3%
9,マレーシア,"24,791",65.8%,"184,230",85.7%,3.1%
10,インド,"8,989",36.1%,"122,109",68.7%,2.1%
11,ドイツ,"17,233",83.9%,"120,470",101.2%,2.1%
12,シンガポール,"16,946",83.3%,"105,810",97.9%,1.8%
13,フィリピン,"9,220",43.0%,"84,933",75.4%,1.4%
14,バングラディシュ,"6,744",294.4%,"75,989",577.4%,1.3%
15,イギリス,"6,345",57.1%,"58,157",84.0%,1.0%
16,カナダ,"10,028",98.4%,"58,059",84.7%,1.0%
17,ロシア,"9,126",77.4%,"41,273",85.5%,0.7%
18,ブラジル,"2,375",41.6%,"31,500",98.8%,0.5%
19,アラブ首長国,"2,950",43.5%,"28,185",84.7%,0.5%
20,フランス,"4,606",100.4%,"27,182",96.9%,0.5%
,その他,"26,190",68.4%,"188,034",93.3%,3.2%
,,,,,,
