（輸出）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"757,453",68.3%,"5,495,483",92.9%,100.0%
1,アメリカ,"144,358",51.8%,"1,282,246",85.4%,23.3%
2,中国,"202,889",70.7%,"1,237,466",80.6%,22.5%
,(香港),"28,859",77.6%,"193,385",93.6%,3.5%
3,ベトナム,"73,651",102.8%,"518,402",163.2%,9.4%
4,タイ,"51,962",63.1%,"414,097",100.3%,7.5%
5,台湾,"67,313",119.5%,"355,629",129.5%,6.5%
6,オランダ,"31,942",82.2%,"228,260",96.1%,4.2%
7,韓国,"26,552",64.1%,"198,079",87.9%,3.6%
8,インドネシア,"19,232",51.2%,"194,907",103.2%,3.5%
9,マレーシア,"24,791",65.8%,"184,230",85.7%,3.4%
10,インド,"8,989",36.1%,"122,109",68.7%,2.2%
11,ドイツ,"17,233",83.9%,"120,470",101.2%,2.2%
12,シンガポール,"16,946",83.3%,"105,810",97.9%,1.9%
13,フィリピン,"8,745",42.7%,"82,863",76.0%,1.5%
14,イギリス,"6,345",57.1%,"58,157",84.0%,1.1%
15,カナダ,"10,028",98.4%,"58,059",84.7%,1.1%
16,ロシア,"9,126",77.4%,"41,273",85.5%,0.8%
17,ブラジル,"2,375",41.6%,"31,500",98.8%,0.6%
18,アラブ首長国,"2,950",43.5%,"28,185",84.7%,0.5%
19,フランス,"4,606",100.4%,"27,182",96.9%,0.5%
20,オーストラリア,"4,545",102.1%,"27,056",116.6%,0.5%
,その他,"22,875",63.3%,"179,503",93.8%,3.3%
,,,,,,
