（輸入）,, 5-(2)外貿コンテナ貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,727,362",94.7%,"16,697,461",98.4%,100.0%
1,中国,"1,229,496",95.4%,"6,953,824",95.6%,41.6%
,(香港),"105,913",80.0%,"665,914",82.3%,4.0%
2,アメリカ,"319,378",103.4%,"2,056,510",102.7%,12.3%
3,タイ,"162,791",80.0%,"1,076,442",93.2%,6.4%
4,ベトナム,"155,557",82.5%,"1,040,954",98.9%,6.2%
5,台湾,"129,225",101.0%,"788,281",99.6%,4.7%
6,韓国,"113,043",95.0%,"699,997",106.4%,4.2%
7,カナダ,"91,011",86.1%,"619,440",100.9%,3.7%
8,シンガポール,"74,613",83.2%,"556,215",100.7%,3.3%
9,マレーシア,"98,258",136.0%,"508,501",107.2%,3.0%
10,インドネシア,"50,225",87.0%,"418,778",98.7%,2.5%
11,オランダ,"51,546",144.0%,"291,123",125.3%,1.7%
12,ドイツ,"50,929",129.8%,"287,707",106.5%,1.7%
13,フィリピン,"26,110",57.2%,"193,776",68.3%,1.2%
14,フランス,"28,959",124.5%,"128,987",83.4%,0.8%
15,チリ,"2,829",12.5%,"121,509",79.0%,0.7%
16,ニュージーランド,"16,714",80.6%,"115,284",93.9%,0.7%
17,イタリア,"18,557",115.0%,"108,019",133.8%,0.6%
18,イギリス,"7,945",72.0%,"80,027",103.4%,0.5%
19,ブラジル,"14,029",107.0%,"79,653",146.6%,0.5%
20,メキシコ,618,4.6%,"62,503",91.4%,0.4%
,その他,"85,529",108.6%,"509,931",106.7%,3.1%
