 2-(1)入港船舶月別前年比較表,,,,,,,,,,,,(単位：隻、総トン）
年月,令和2年(2020年),,,,,,平成31年(2019年),,,,,
,総数,,外航船,,内航船,,総数,,外航船,,内航船,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
１月　,"1,739","13,720,981",417,"10,253,345","1,322","3,467,636","1,894","14,030,164",429,"10,478,863","1,465","3,551,301"
,91.8%,97.8%,97.2%,97.8%,90.2%,97.6%,,,,,,
２月　,"1,794","13,120,795",353,"9,389,167","1,441","3,731,628","1,883","13,944,490",399,"10,319,664","1,484","3,624,826"
,95.3%,94.1%,88.5%,91.0%,97.1%,102.9%,,,,,,
３月　,"1,924","14,691,387",423,"10,761,619","1,501","3,929,768","2,134","15,813,494",459,"11,612,037","1,675","4,201,457"
,90.2%,92.9%,92.2%,92.7%,89.6%,93.5%,,,,,,
４月　,"1,758","14,695,677",432,"11,090,159","1,326","3,605,518","2,010","16,083,222",454,"12,224,020","1,556","3,859,202"
,87.5%,91.4%,95.2%,90.7%,85.2%,93.4%,,,,,,
５月　,"1,584","13,685,612",415,"10,394,897","1,169","3,290,715","1,846","14,410,844",403,"10,728,467","1,443","3,682,377"
,85.8%,95.0%,103.0%,96.9%,81.0%,89.4%,,,,,,
６月　,"1,661","14,121,563",420,"10,507,071","1,241","3,614,492","1,987","15,346,069",453,"11,406,060","1,534","3,940,009"
,83.6%,92.0%,92.7%,92.1%,80.9%,91.7%,,,,,,
７月　,-,-,-,-,-,-,"2,143","15,772,021",451,"11,565,837","1,692","4,206,184"
,-,-,-,-,-,-,,,,,,
８月　,-,-,-,-,-,-,"1,872","14,905,283",440,"11,290,169","1,432","3,615,114"
,-,-,-,-,-,-,,,,,,
９月　,-,-,-,-,-,-,"1,862","15,124,712",438,"11,397,149","1,424","3,727,563"
,-,-,-,-,-,-,,,,,,
１０月　,-,-,-,-,-,-,"1,879","14,419,132",420,"10,640,918","1,459","3,778,214"
,-,-,-,-,-,-,,,,,,
１１月　,-,-,-,-,-,-,"1,961","15,001,374",452,"11,165,399","1,509","3,835,975"
,-,-,-,-,-,-,,,,,,
１２月　,-,-,-,-,-,-,"1,911","15,061,038",449,"11,233,657","1,462","3,827,381"
,-,-,-,-,-,-,,,,,,
累計,"10,460","84,036,015","2,460","62,396,258","8,000","21,639,757","23,382","179,911,843","5,247","134,062,240","18,135","45,849,603"
,89.0%,93.8%,94.7%,93.5%,87.4%,94.7%,,,,,,
前年累計,"11,754","89,628,283","2,597","66,769,111","9,157","22,859,172",,,,,,
増(－)減,"-1,294","-5,592,268",-137,"-4,372,853","-1,157","-1,219,415",,,,,,
,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
