 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"6,398,361","2,058,548","4,339,813","39,909,056","12,853,984","27,055,072","4,409,706","1,316,627","3,093,079","27,619,273","8,661,732","18,957,541"
外航計,"3,750,503","881,807","2,868,696","23,215,430","5,863,699","17,351,731","3,522,146","760,303","2,761,843","22,412,144","5,501,859","16,910,285"
外航定期計,"3,558,917","760,303","2,798,614","22,490,291","5,508,059","16,982,232","3,522,146","760,303","2,761,843","22,412,144","5,501,859","16,910,285"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"444,571","27,122","417,449","2,395,665","332,376","2,063,289","407,800","27,122","380,678","2,356,903","332,092","2,024,811"
北米東岸(カリビア海含む),"92,861","23,966","68,895","672,160","269,582","402,578","92,861","23,966","68,895","672,160","269,582","402,578"
北欧・地中海,"338,814","192,773","146,041","2,657,553","1,322,639","1,334,914","338,814","192,773","146,041","2,657,122","1,322,208","1,334,914"
南米西岸,-,-,-,"168,792","13,801","154,991",-,-,-,"168,792","13,801","154,991"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"19,109","2,772","16,337","146,315","14,000","132,315","19,109","2,772","16,337","126,248","14,000","112,248"
印パ･ペルシャ･ベンガル,-,-,-,"5,250","5,250",-,-,-,-,-,-,-
東南アジア,"1,531,504","342,287","1,189,217","9,840,959","2,529,750","7,311,209","1,531,504","342,287","1,189,217","9,840,959","2,529,750","7,311,209"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"124,778","22,529","102,249","801,173","175,945","625,228","124,778","22,529","102,249","801,173","175,945","625,228"
中国(香港含む),"1,007,280","148,854","858,426","5,802,424","844,716","4,957,708","1,007,280","148,854","858,426","5,788,787","844,481","4,944,306"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"191,586","121,504","70,082","725,139","355,640","369,499",-,-,-,-,-,-
内航計,"2,647,858","1,176,741","1,471,117","16,693,626","6,990,285","9,703,341","887,560","556,324","331,236","5,207,129","3,159,873","2,047,256"
内航定期計,"1,675,576","964,979","710,597","10,153,845","5,674,981","4,478,864","879,734","550,997","328,737","5,130,548","3,095,604","2,034,944"
北海道,"284,365","158,339","126,026","1,632,936","914,587","718,349","284,365","158,339","126,026","1,632,936","914,587","718,349"
東北,"35,741","20,792","14,949","242,394","137,477","104,917","35,741","20,792","14,949","242,394","137,477","104,917"
関東,"42,913","20,790","22,123","265,492","111,477","154,015",-,-,-,"2,182","2,182",-
伊豆諸島,"4,674","3,297","1,377","38,602","26,072","12,530",-,-,-,-,-,-
中部,"6,085","1,130","4,955","76,198","16,498","59,700","6,085","1,130","4,955","76,198","16,498","59,700"
近畿,"7,227","4,765","2,462","81,400","46,077","35,323","7,227","4,765","2,462","81,400","46,077","35,323"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,179,032","671,299","507,733","7,130,814","3,922,259","3,208,555","430,777","281,404","149,373","2,409,429","1,478,249","931,180"
沖縄,"115,539","84,567","30,972","686,009","500,534","185,475","115,539","84,567","30,972","686,009","500,534","185,475"
内航不定期,"972,282","211,762","760,520","6,539,781","1,315,304","5,224,477","7,826","5,327","2,499","76,581","64,269","12,312"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
