 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
,,,,計,,コンテナ,,計,,コンテナ,,,,,
,,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計,当月,累計
合計,,"6,398,361","39,909,056","881,807","5,863,699","757,453","5,495,483","2,868,696","17,351,731","2,727,362","16,697,461","1,176,741","6,990,285","1,471,117","9,703,341"
農水産品,,"414,212","2,845,661","33,011","165,120","33,011","165,113","360,156","2,513,903","292,204","2,059,357","10,110","78,378","10,935","88,260"
1,麦,"20,026","191,824",-,-,-,-,"14,219","146,159",720,"14,105",410,"2,819","5,397","42,846"
2,米,"7,433","45,515",463,"2,465",463,"2,465","2,550","14,520","2,550","14,520","3,155","20,850","1,265","7,680"
3,とうもろこし,525,"5,486",-,75,-,75,525,"5,411",525,"5,411",-,-,-,-
4,豆類,"13,465","82,296",13,57,13,57,"11,237","74,349","11,237","74,349","1,650","5,920",565,"1,970"
5,その他雑穀,730,"3,885",-,-,-,-,465,"2,945",465,"2,945",235,815,30,125
6,野菜・果物,"136,269","934,301",942,"13,448",942,"13,441","130,324","871,875","75,871","549,388","2,808","27,762","2,195","21,216"
7,綿花,30,515,15,63,15,63,15,452,15,452,-,-,-,-
8,その他農産品,"19,846","137,772",803,"5,110",803,"5,110","19,013","129,479","19,013","129,474",30,"3,083",-,100
9,羊毛,60,291,-,-,-,-,60,291,60,291,-,-,-,-
10,その他畜産品,"134,666","909,534","2,792","17,474","2,792","17,474","130,978","884,378","130,978","884,378",506,"5,122",390,"2,560"
11,水産品,"81,162","534,242","27,983","126,428","27,983","126,428","50,770","384,044","50,770","384,044","1,316","12,007","1,093","11,763"
林産品,,"108,218","591,094","1,378","9,128","1,378","9,128","96,681","531,922","92,799","516,948","8,439","41,113","1,720","8,931"
12,原木,501,"3,515",43,"1,093",43,"1,093",458,"1,804",458,"1,804",-,528,-,90
13,製材,"96,077","503,599","1,269","7,686","1,269","7,686","87,602","459,238","83,720","444,264","6,489","32,209",717,"4,466"
14,樹脂類,"4,919","43,964",34,210,34,210,"3,975","38,634","3,975","38,634",650,"3,545",260,"1,575"
15,木材チップ,"1,608","6,918",-,56,-,56,"1,421","6,056","1,421","6,056",-,-,187,806
16,その他林産品,"1,966","7,453",-,3,-,3,120,720,120,720,"1,300","4,766",546,"1,964"
17,薪炭,"3,147","25,645",32,80,32,80,"3,105","25,470","3,105","25,470",-,65,10,30
鉱産品,,"403,180","2,141,304","3,590","15,246","3,590","15,246","69,202","249,205","24,250","143,648","8,510","43,997","321,878","1,832,856"
18,石炭,"27,414","97,738",-,-,-,-,"25,469","84,710","3,717","25,558","1,945","4,996",-,"8,032"
19,鉄鉱石,160,620,-,30,-,30,160,590,160,590,-,-,-,-
20,金属鉱,85,"2,865",-,-,-,-,75,"2,535",75,"2,535",10,330,-,-
21,砂利・砂,"243,601","1,381,807",144,268,144,268,"1,768","10,223","1,768","10,223",780,"6,162","240,909","1,365,154"
22,石材,"63,940","366,064",361,"2,117",361,"2,117","6,729","41,707","6,729","41,707",165,"6,495","56,685","315,745"
23,原油,203,"1,349",-,3,-,3,203,"1,346",203,"1,346",-,-,-,-
24,りん鉱石,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,石灰石,"19,119","94,746",-,-,-,-,37,96,37,96,15,255,"19,067","94,395"
26,原塩,"1,171","6,166",2,13,2,13,"1,149","6,053","1,149","6,053",-,-,20,100
27,非金属鉱物,"47,487","189,949","3,083","12,815","3,083","12,815","33,612","101,945","10,412","55,540","5,595","25,759","5,197","49,430"
金属機械工業品,,"2,075,825","13,106,125","264,316","2,171,244","262,085","2,160,047","683,341","3,996,382","677,626","3,955,327","625,406","3,707,197","502,762","3,231,302"
28,鉄鋼,"3,571","40,030",499,"14,783",499,"8,678","2,947","24,082","2,947","15,082",65,730,60,435
29,鋼材,"78,520","619,100","15,466","105,769","15,456","105,759","7,832","61,788","7,569","51,907","2,464","12,040","52,758","439,503"
