（輸入）,, 5-(1)外貿貨物主要国別表（累計上位20位）,,,,(単位：トン）
,,当月,前年比,1月以降累計,前年比,構成比
総計,,"2,868,696",96.5%,"17,351,731",98.5%,100.0%
1,中国,"1,229,496",95.3%,"6,973,386",95.4%,40.2%
,(香港),"105,913",80.0%,"665,914",82.3%,3.8%
2,アメリカ,"365,049",118.1%,"2,185,902",106.6%,12.6%
3,タイ,"162,791",80.0%,"1,076,442",93.2%,6.2%
4,ベトナム,"155,557",82.2%,"1,040,954",98.8%,6.0%
5,台湾,"129,225",101.0%,"788,281",99.4%,4.5%
6,韓国,"122,607",102.4%,"733,541",107.9%,4.2%
7,カナダ,"99,447",88.0%,"664,101",92.9%,3.8%
8,シンガポール,"74,613",83.2%,"556,215",100.7%,3.2%
9,マレーシア,"98,258",136.0%,"510,501",105.9%,2.9%
10,フィリピン,"68,117",66.6%,"463,137",81.8%,2.7%
11,インドネシア,"50,225",87.0%,"418,778",98.5%,2.4%
12,オランダ,"51,546",144.0%,"291,123",125.3%,1.7%
13,ドイツ,"50,929",129.8%,"287,707",106.5%,1.7%
14,ニュージーランド,"24,983",74.0%,"162,634",98.7%,0.9%
15,フランス,"28,959",124.5%,"128,987",83.4%,0.7%
16,チリ,"2,829",12.5%,"121,509",79.0%,0.7%
17,イタリア,"18,557",115.0%,"108,019",133.8%,0.6%
18,イギリス,"7,945",72.0%,"80,027",103.4%,0.5%
19,ブラジル,"14,029",107.0%,"79,653",146.6%,0.5%
20,オーストラリア,"23,821",386.2%,"73,817",106.4%,0.4%
,その他,"89,713",92.0%,"607,017",105.8%,3.5%
