"年度","区分","日々･指定日 男[人]","日々･指定日 女[人]","在宅・グループ 男[人]","在宅・グループ 女[人]","重症心身障害児通所事業 男[人]","重症心身障害児通所事業 女[人]"
"2013","合計","31","11","17","8","4","4"
"2014","合計","28","16","12","7","2","6"
"2015","合計","35","11","18","8","5","3"
"2016","合計","35","14","15","4","3","5"
"2017","０歳児","0","0","0","0","0","0"
"2017","１歳児","0","1","0","2","0","1"
"2017","２歳児","8","1","0","0","3","0"
"2017","３歳児","8","4","0","0","0","1"
"2017","４歳児","12","4","0","0","2","1"
"2017","５歳児","9","1","5","2","0","1"
"2017","学齢児","0","0","6","6","0","0"
"2017","合計","37","11","11","10","5","4"

"平成30年度港区行政資料集　障害保健福祉センター心身障害児通園施設登録児数","Ver201803",,,,,,
