"年月[西暦]","調査項目","設問","意見や考え","回答者の属性種別","回答者の属性","大変そう思う[人]","ややそう思う[人]","あまりそう思わない[人]","全くそうは思わない[人]","無回答[人]","大変そう思う[%]","ややそう思う[%]","あまりそう思わない[%]","全くそうは思わない[%]","無回答[%]"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","性別","男性","66","60","20","5","5","42.3","38.5","12.8","3.2","3.2"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","性別","女性","115","118","30","2","6","42.4","43.5","11.1","0.7","2.2"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","18～29歳","7","19","7","0","0","21.2","57.6","21.2","0.0","0.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","30～39歳","33","23","7","2","0","50.8","35.4","10.8","3.1","0.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","40～49歳","42","45","7","1","1","43.8","46.9","7.3","1.0","1.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","50～59歳","40","33","12","3","2","44.4","36.7","13.3","3.3","2.2"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","60～69歳","25","30","5","0","0","41.7","50.0","8.3","0.0","0.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","環境保全の取組を進めることは、地域経済の発展につながる","年齢","70歳以上","34","29","12","1","8","40.5","34.5","14.3","1.2","9.5"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","日常生活における一人ひとりの行動が、環境に大きな影響を及ぼしている","性別","男性","84","54","14","1","3","53.8","34.6","9.0","0.6","1.9"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","日常生活における一人ひとりの行動が、環境に大きな影響を及ぼしている","性別","女性","179","77","10","3","2","66.1","28.4","3.7","1.1","0.7"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","日常生活における一人ひとりの行動が、環境に大きな影響を及ぼしている","年齢","18～29歳","16","12","5","0","0","48.5","36.4","15.2","0.0","0.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","日常生活における一人ひとりの行動が、環境に大きな影響を及ぼしている","年齢","30～39歳","47","13","5","0","0","72.3","20.0","7.7","0.0","0.0"
"202003","環境問題への関心","Q2. 環境問題に対する次の意見や考えについて、「大変そう思う」から「全くそうは思わない」までの４段階で、あなたの考えや意見に最も近いものに○をつけてください。（○はそれぞれ１つ）","日常生活における一人ひとりの行動が、環境に大きな影響を及ぼしている","年齢","40～49歳","62","30","3","1","0","64.6","31.3","3.1","1.0","0.0"
