年度,Fiscal year,貸切使用日数 Group use (number of days)／メインアリーナ Main arena(日 days),貸切使用日数 Group use (number of days)／サブアリーナ Sub arena(日 days),貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools／50m(日 days),貸切使用日数 Group use (number of days)／屋内プール Indoor swimming pools／25m(日 days),貸切使用日数 Group use (number of days)／研修室(4室) Seminar rooms (4)(日 days),一般公開利用者数  Individual users／屋内プール Indoor swimming pools(人 persons),一般公開利用者数  Individual users／陸上競技場 Athletic field(人 persons),一般公開利用者数  Individual users／トレーニングルーム Training room(人 persons),健康体力相談室 Health counseling room(人 persons),講習会等 Workshops and others／回数 Times held(回 times),講習会等 Workshops and others／利用者数 Participants(人 persons)
平成20,2008,346,347,172,339,1358,287923,55696,181903,611,124,73108
平成21,2009,343,344,182,341,1338,274036,67060,189453,555,105,69849
平成22,2010,326,324,181,321,1275,272034,66266,181248,656,106,74498
平成23,2011,319,328,227,337,1279,455717,67128,-,715,420,66386
平成24,2012,87,87,-,-,340,44610,20781,-,236,23,22799
,,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (1) 東京体育館 (平成20～24年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (1) TOKYO METROPOLITAN GYMNASIUM ( Fiscal Years 2008-2012 )　,,,,,,,,,,,,
注 1) 屋内プール(50m)貸切使用日数はコースごとである。,,,,,,,,,,,,
2) 平成23年度より、屋内プールの利用者数は、トレーニングルームの利用者数との合計である。,,,,,,,,,,,,
3) 平成24年4月から平成25年3月まで大規模改修工事のため，期間を定めて一部または全部施設を休館した。,,,,,,,,,,,,
Note: 1) Group use of a lane in the 50-meter pool is counted as one day.,,,,,,,,,,,,
2) From FY 2011， the number of indoor swimmming pool users combines training room users.,,,,,,,,,,,,
3) From April 2012 to March 2013， the gymnasium was closed (partially and then fully) due to renovations.,,,,,,,,,,,,
資料：オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,,
