年度,Fiscal year,幼稚園 Kindergarten,小学校 Elementary school,中学校 Junior high school,中等教育学校 Secondary education school,高等学校(全日制) Senior high school (Full-time),高等学校(定時制) Senior high school (part-time),高等学校(通信制) Senior high school (correspondence course),高等専門学校 Technical college,特別支援学校 Special needs school
平成21,2009,19314,50194,71648,117061,49471,42975,334,…,39148
平成22,2010,18499,51401,71779,124582,49987,40561,346,…,39481
平成23,2011,18218,51945,71672,121535,50860,37671,310,…,40906
,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK (2012)　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-2  公立学校別保護者が負担する一人当たり学校納付金 (平成21～23年度) 17-2  SCHOOL FEES PAID BY GUARDIANS PER CHILD BY TYPE OF PUBLIC SCHOOL ( Fiscal Years 2009-2011 ) ,,,,,,,,,,
保護者が負担する学校納付金とは，教材費，学校給食費等をいい，入学金，授業料等を含まない。,,,,,,,,,,
School fees paid by guardians include expenses for textbooks and other learning materials and school meals， but exclude school admission fees and tuition fees， among others. ,,,,,,,,,,
資料：都教育庁総務部教育情報課 「保護者が負担する教育費調査報告書－学校納付金調査－」   Source: Office of Education， TMG,,,,,,,,,,
（単位　円）(In yen)  ,,,,,,,,,,
