年度,Fiscal year,区分,Classification,総数 Total／総数 Total,総数 Total／男 Male,総数 Total／女 Female,国立 National,公立 Public,私立 Private,(再掲)全日制課程 (Relisted) full-time,(再掲)定時制課程 (Relisted) part-time
平成22,2010,総数,Total,97244,48060,49184,1161,40134,55949,93955,3289
平成23,2011,総数,Total,97284,47935,49349,1169,39762,56353,94080,3204
平成24,2012,総数,Total,98500,48346,50154,1142,40658,56700,95249,3251
平成24,2012,進学者(A),Enrollment in higher education institutions(A),64761,30108,34653,707,20790,43264,64006,755
平成24,2012,進学者(A)／大学,Enrollment in higher education institutions(A)／Colleges and universities,61321,29807,31514,705,19019,41597,60650,671
平成24,2012,進学者(A)／短期大学,Enrollment in higher education institutions(A)／Junior colleges,3365,277,3088,2,1742,1621,3289,76
平成24,2012,進学者(A)／大学・短期大学の通信教育部及び放送大学,Enrollment in higher education institutions(A)／Correspondence courses of universities and junior colleges and The University of the Air,37,20,17,-,28,9,29,8
平成24,2012,進学者(A)／大学・短期大学の別科,Enrollment in higher education institutions(A)／Universities and junior colleges， special course ,4,2,2,-,-,4,4,-
平成24,2012,進学者(A)／高等学校の専攻科,Enrollment in higher education institutions(A)／Senior high schools， advanced course,34,2,32,-,1,33,34,-
平成24,2012,進学者(A)／特別支援学校高等部専攻科,Enrollment in higher education institutions(A)／Special needs education schools， upper secondary course， advanced course,-,-,-,-,-,-,-,-
平成24,2012,専修学校（専門課程）進学者 (B),Enrollment in specialized training schools (specialized course) (B),11866,5267,6599,2,7828,4036,11243,623
平成24,2012,専修学校（一般課程）等入学者 (C),Enrollment in specialized training schools (general course) and others (C),6925,4190,2735,2,3124,3799,6798,127
平成24,2012,公共職業能力開発施設等入学者 (D),Enrollment in public vocational training facilities and others (D),321,254,67,-,297,24,231,90
平成24,2012,就職者,Employed,5536,3420,2116,1,4464,1071,4939,597
平成24,2012,一時的な仕事に就いた者,Temporary workers,1224,457,767,-,1152,72,874,350
平成24,2012,上記以外の者,Persons other than the above,7859,4646,3213,430,2999,4430,7153,706
平成24,2012,不詳・死亡,Unknown or deceased,8,4,4,-,4,4,5,3
平成24,2012,(再掲)上記(A，B，C，D)のうち就職している者,(Relisted)(A， B， C， D) above and employed,15,3,12,-,12,3,10,5
平成24,2012,(再掲)上記(A)のうち就職している者,(Relisted)(A) above and employed,4,2,2,-,2,2,3,1
平成24,2012,(再掲)上記(B)のうち就職している者,(Relisted)(B) above and employed,6,1,5,-,5,1,2,4
平成24,2012,(再掲)上記(C)のうち就職している者,(Relisted)(C) above and employed,5,-,5,-,5,-,5,-
平成24,2012,(再掲)上記(D)のうち就職している者,(Relisted)(D) above and employed,-,-,-,-,-,-,-,-
,,,,,,,,,,,
東京都統計年鑑（平成24年）TOKYO STATISTICAL YEARBOOK ( 2012 )　17  教育・文化・スポー ツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-7  高等学校卒業後の状況 （平成22～24年度） 17-7  STATUS OF GRADUATES OF SENIOR HIGH SCHOOLS  ( Fiscal Years 2010-2012 ),,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」  Source: Bureau of General Affairs， TMG,,,,,,,,,,,
