事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成18,2006,年平均,18.9,19.8,17.6,145.6,160,125.4,137.5,149.3,121,8.1,10.7,4.4
５～29人,平成19,2007,年平均,18.4,19.5,17,141.1,156.6,120.4,133.8,146.7,116.6,7.3,9.9,3.8
５～29人,平成20,2008,年平均,18.3,19.4,16.9,138.7,155.5,118.2,131.1,145.3,113.8,7.6,10.2,4.4
５～29人,平成21,2009,年平均,18.1,19.1,16.7,137,153.8,116.5,129.4,143.7,112,7.6,10.1,4.5
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成26,2014,1月,16.2,17.1,15.1,123.5,137.2,107,115.6,126.8,102.1,7.9,10.4,4.9
５～29人,平成26,2014,2月,17.5,18.7,16.1,133.9,150.5,114.3,125.7,139.5,109.5,8.2,11,4.8
５～29人,平成26,2014,3月,17.5,18.7,16.1,134.5,151.4,114.5,125.6,139.5,109.3,8.9,11.9,5.2
５～29人,平成26,2014,4月,18.1,19.3,16.8,140.7,158.2,120.1,131.6,146.1,114.5,9.1,12.1,5.6
５～29人,平成26,2014,5月,17.4,18.5,16.2,132.9,148,115.5,124.8,137.2,110.4,8.1,10.8,5.1
５～29人,平成26,2014,6月,18.5,19.6,17.2,140.8,157.3,121.4,132.6,146.4,116.4,8.2,10.9,5
５～29人,平成26,2014,7月,18.3,19.6,16.8,139.2,157.8,117.1,130.6,146.1,112.1,8.6,11.7,5
５～29人,平成26,2014,8月,17.2,18.3,15.8,131.3,147.8,111.5,123.4,137.1,107,7.9,10.7,4.5
５～29人,平成26,2014,9月,17.6,18.9,16,134.3,152.6,112.7,126.2,141.5,108,8.1,11.1,4.7
５～29人,平成26,2014,10月,17.8,19.1,16.2,135.2,154.1,112.8,127.1,142.9,108.2,8.1,11.2,4.6
５～29人,平成26,2014,11月,17.7,19,16.1,135.2,154.1,112.8,126.8,142.7,107.9,8.4,11.4,4.9
５～29人,平成26,2014,12月,17.5,18.7,16,133.5,151.3,112.1,125.1,140,107.2,8.4,11.3,4.9
