規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.7,17.7,149,155.6,137.2,134.5,139,126.4,14.5,16.6,10.8
100～499人,18.2,18.7,17.3,148.8,159,131.7,134.3,141.4,122.4,14.5,17.6,9.3
100人以上,18.3,18.7,17.5,148.9,157.4,134.2,134.4,140.3,124.2,14.5,17.1,10
30～99人,18.5,19.3,17.4,148.5,163.1,127.6,134.6,144.8,120,13.9,18.3,7.6
５～29人,17.7,19,16.1,135.2,154.1,112.8,126.8,142.7,107.9,8.4,11.4,4.9
30人以上,18.3,18.9,17.4,148.8,159.3,131.8,134.5,141.8,122.7,14.3,17.5,9.1
５人以上,18.1,18.9,17,144.6,157.8,125.2,132.1,142,117.6,12.5,15.8,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
