規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,154,138.8,15.2,13.9,87.7,83.8,3.9
100～499人,18.9,158.6,143.3,15.3,14.3,89.9,86.2,3.7
100人以上,18.8,156.3,141.1,15.2,14.1,89.1,85.3,3.8
30～99人,19.6,165.8,151.1,14.7,15,85.2,82.6,2.6
５～29人,20.3,168.2,156.7,11.5,13.2,79.8,77.1,2.7
30人以上,19.1,159.4,144.3,15.1,14.5,87.3,84.1,3.2
５人以上,19.4,161.5,147.3,14.2,13.9,83.7,80.7,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年９月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
