規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19.1,19.4,18.6,155.2,161,144.9,140.9,144.7,134.1,14.3,16.3,10.8
100～499人,18.9,19.4,18,153.4,163.6,136.3,139.6,147.1,127,13.8,16.5,9.3
100人以上,19,19.4,18.3,154.3,162.4,140.2,140.2,146,130.2,14.1,16.4,10
30～99人,19.4,20.1,18.4,156,170.1,135.4,143,153.2,128.1,13,16.9,7.3
５～29人,18.5,19.6,17.2,140.8,157.3,121.4,132.6,146.4,116.4,8.2,10.9,5
30人以上,19.1,19.6,18.3,154.8,164.9,138.4,141.1,148.3,129.4,13.7,16.6,9
５人以上,18.9,19.6,17.9,150.5,162.8,132.5,138.5,147.8,124.9,12,15,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
