規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.9,165.2,148.4,16.8,13.9,89.7,84.8,4.9
100～499人,20,170.5,152.6,17.9,14.6,93.2,88.7,4.5
100人以上,20,168,150.6,17.4,14.4,91.9,87.2,4.7
30～99人,20.5,176.6,159.1,17.5,15.1,87.4,84.4,3
５～29人,20.9,175.9,162.9,13,13.3,80.3,77.7,2.6
30人以上,20.1,170.7,153.3,17.4,14.7,89.9,86,3.9
５人以上,20.3,172,155.7,16.3,14,85.3,82,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年４月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
