規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,471267,559225,316629,457646,542960,307655,417686,39960,13621,16265,8974
100～499人,367910,433117,258136,347233,411076,239755,316396,30837,20677,22041,18381
100人以上,415710,491939,284790,398296,472592,270695,363240,35056,17414,19347,14095
30～99人,332011,396674,239681,298256,356780,214690,275811,22445,33755,39894,24991
５～29人,260593,329716,178415,248380,312821,171767,236132,12248,12213,16895,6648
30人以上,387179,460988,268251,364195,434966,250162,333437,30758,22984,26022,18089
５人以上,348577,424415,237385,328877,400936,223227,303764,25113,19700,23479,14158
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
