規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,512457,500092,456073,44019,12365,124392,122598,114995,7603,1794
100～499人,413122,396419,362737,33682,16703,119243,118030,112138,5892,1213
100人以上,461134,446528,407850,38678,14606,121037,119621,113133,6488,1416
30～99人,371641,360041,334587,25454,11600,103553,102586,99027,3559,967
５～29人,356456,345588,327585,18003,10868,91285,90773,88386,2387,512
30人以上,432723,419071,384591,34480,13652,113146,111933,106767,5166,1213
５人以上,413870,400907,370500,30407,12963,102472,101601,97792,3809,871
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１０月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
