規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18.2,18.8,17.3,144.7,155.8,128.4,132.4,140.6,120.3,12.3,15.2,8.1
５人以上,"鉱業,採石業,砂利採取業",18.3,18.4,17.8,151.3,153.8,141.5,134.3,135.7,128.9,17,18.1,12.6
５人以上,建設業,19.9,20.1,18.5,170.2,172.8,154.7,151.3,152.8,142.6,18.9,20,12.1
５人以上,製造業,18.4,18.5,17.9,152.6,155.6,144.2,140.3,142.5,134.1,12.3,13.1,10.1
５人以上,電気・ガス・熱供給・水道業,18.1,18.2,17.8,155.9,157.1,146,137.2,137.7,132.9,18.7,19.4,13.1
５人以上,情報通信業,18.8,19,18.1,161.2,164.6,150.7,141.6,144.1,133.9,19.6,20.5,16.8
５人以上,"運輸業,郵便業",18.9,19.1,18,160.9,168.4,130.7,142.4,147.9,120.3,18.5,20.5,10.4
５人以上,"卸売業,小売業",18.4,18.9,17.8,141.2,151.7,128.8,133.2,141.9,123,8,9.8,5.8
５人以上,"金融業,保険業",19,19.6,18.3,156.5,166.5,145.6,138.7,145.8,130.9,17.8,20.7,14.7
５人以上,"不動産業,物品賃貸業",19.3,19.5,18.7,155.7,161.3,144.6,142.9,147.3,134.2,12.8,14,10.4
５人以上,"学術研究,専門・技術サービス業",19.4,19.8,18.6,166.4,173.1,151.3,144.1,147.4,136.8,22.3,25.7,14.5
５人以上,"宿泊業,飲食サービス業",16,17.2,15.1,112.1,132.3,96.3,105.2,122.1,91.9,6.9,10.2,4.4
５人以上,"生活関連サービス業,娯楽業",18.5,18.7,18.3,147,149.9,144.4,136.9,139.1,134.9,10.1,10.8,9.5
５人以上,"教育,学習支援業",16,16.4,15.6,114,117,110.7,110.1,113.3,106.5,3.9,3.7,4.2
５人以上,"医療,福祉",16.9,17.1,16.9,127.3,134.1,124.6,121.5,126.7,119.5,5.8,7.4,5.1
５人以上,複合サービス事業,18.3,18.5,18.1,139.5,145.7,133.1,132.1,137.1,127,7.4,8.6,6.1
５人以上,サービス業（他に分類されないもの）,18.2,19,17.2,141.9,156.9,124,128.7,139.7,115.6,13.2,17.2,8.4
30人以上,調査産業計,18.5,18.9,17.8,149.8,158.7,135.2,135.7,141.9,125.5,14.1,16.8,9.7
30人以上,"鉱業,採石業,砂利採取業",18.3,18.4,17.8,151.3,153.8,141.5,134.3,135.7,128.9,17,18.1,12.6
30人以上,建設業,19.9,20.1,18.7,173.5,175.1,163.7,151.1,151.7,147.4,22.4,23.4,16.3
30人以上,製造業,18.3,18.5,17.9,153.7,156,146.9,140.3,142,135.4,13.4,14,11.5
30人以上,電気・ガス・熱供給・水道業,18.3,18.3,18,158.2,159.6,148.9,138.1,138.6,134.7,20.1,21,14.2
30人以上,情報通信業,18.8,19.1,18.1,162.7,165.6,152.8,141.4,143.7,133.8,21.3,21.9,19
30人以上,"運輸業,郵便業",18.8,19,18.1,162.7,169.3,135.3,143.3,148.1,123.5,19.4,21.2,11.8
30人以上,"卸売業,小売業",18.9,19.2,18.4,145,154.6,132.5,136.3,144.1,126.2,8.7,10.5,6.3
30人以上,"金融業,保険業",19,19.5,18.4,157.4,166.7,147,138.3,144.8,131,19.1,21.9,16
30人以上,"不動産業,物品賃貸業",19.1,19.5,18.4,152.7,158.5,142,140.2,145.4,130.6,12.5,13.1,11.4
30人以上,"学術研究,専門・技術サービス業",19.7,20,19,172.7,177.2,159.5,146.5,148.4,140.9,26.2,28.8,18.6
30人以上,"宿泊業,飲食サービス業",17.8,18.6,17.2,131.5,149.7,117.9,122.5,137.5,111.2,9,12.2,6.7
30人以上,"生活関連サービス業,娯楽業",17.9,18.6,17.2,143.6,152.4,134.5,132.6,139.9,125.1,11,12.5,9.4
30人以上,"教育,学習支援業",16.4,16.5,16.2,116.8,117.4,115.8,113,114,111.6,3.8,3.4,4.2
30人以上,"医療,福祉",17.9,17.6,18.1,138.4,140.3,137.6,131.9,132.2,131.8,6.5,8.1,5.8
30人以上,複合サービス事業,18.6,19.1,17.8,136.4,149.1,114.4,125.4,136.8,105.6,11,12.3,8.8
30人以上,サービス業（他に分類されないもの）,18,18.7,17.1,141.2,157.1,123.6,127.4,139,114.6,13.8,18.1,9
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年５月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
