規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,18,16.9,143.9,150.1,132.3,129.3,133.7,121.2,14.6,16.4,11.1
100～499人,17.6,18.1,16.7,143.6,153.4,127.3,129.6,136.5,118.1,14,16.9,9.2
100人以上,17.6,18.1,16.8,143.8,151.9,129.4,129.5,135.2,119.4,14.3,16.7,10
30～99人,18.3,19,17.3,147.3,161,127.3,134.4,144.2,120,12.9,16.8,7.3
５～29人,17.5,18.7,16.1,133.9,150.5,114.3,125.7,139.5,109.5,8.2,11,4.8
30人以上,17.8,18.4,16.9,145,154.8,128.6,131.2,138.1,119.6,13.8,16.7,9
５人以上,17.7,18.5,16.7,141.6,153.6,123.7,129.5,138.5,116.1,12.1,15.1,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
