規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.4,17.6,146.6,152.1,136.6,132.7,136.1,126.5,13.9,16,10.1
100～499人,18.1,18.7,17.2,146.7,157.1,129.6,133.4,140.8,121.3,13.3,16.3,8.3
100人以上,18.1,18.5,17.4,146.7,154.8,132.8,133.1,138.6,123.7,13.6,16.2,9.1
30～99人,18.5,19.1,17.6,146.6,159.1,128.9,134.8,143.8,122,11.8,15.3,6.9
５～29人,17.6,18.9,16,134.3,152.6,112.7,126.2,141.5,108,8.1,11.1,4.7
30人以上,18.3,18.7,17.5,146.7,156.2,131.4,133.7,140.3,123.1,13,15.9,8.3
５人以上,18.1,18.8,17,142.9,155.1,125,131.4,140.6,117.9,11.5,14.5,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
