規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.2,150.9,135.7,15.2,13.3,83.2,78.6,4.6
100～499人,18.2,153.8,137.9,15.9,14,88.3,84,4.3
100人以上,18.2,152.5,136.9,15.6,13.8,86.4,82,4.4
30～99人,18.3,155.9,140.5,15.4,14.6,83.9,81,2.9
５～29人,18.2,150.7,139.8,10.9,12.7,77.1,74.3,2.8
30人以上,18.2,153.5,138,15.5,14.1,85.3,81.5,3.8
５人以上,18.2,152.9,138.5,14.4,13.4,81.4,78.1,3.3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
