事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成18,2006,年平均,4307455,2797621,1509834,89274,48200,41075,83870,46568,37302,4312859,2799253,1513607,16.2,7.6,32
30人以上,TL 調査産業計,平成19,2007,年平均,4359575,2860321,1499254,90873,49957,40916,84901,47108,37794,4365547,2863170,1502376,14.5,7.1,28.7
30人以上,TL 調査産業計,平成20,2008,年平均,4439995,2946165,1493830,91110,51235,39876,80597,44757,35840,4450508,2952643,1497866,13.9,6.9,27.7
30人以上,TL 調査産業計,平成21,2009,年平均,4744230,2998797,1745433,96272,53860,42412,95174,51696,43478,4745328,3000961,1744367,15.9,8.3,29.1
30人以上,TL 調査産業計,平成22,2010,年平均,4707023,2936527,1770496,88074,46982,41091,90211,49259,40952,4704886,2934250,1770635,15.8,8.2,28.3
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成25,2013,年平均,5004937,3134864,1870073,95372,53156,42216,93680,53652,40029,5006629,3134368,1872260,17.8,9.2,32.3
30人以上,TL 調査産業計,平成26,2014,年平均,5051564,3127988,1923576,94820,51394,43426,89561,50469,39092,5056823,3128913,1927910,17.6,9.1,31.4
30人以上,TL 調査産業計,平成26,2014,1月,5010268,3113953,1896315,65371,36427,28944,67887,35196,32691,5007752,3115184,1892568,17.9,9.3,32
30人以上,TL 調査産業計,平成26,2014,2月,5007752,3123549,1884203,60110,31792,28318,68174,36540,31634,4999688,3118801,1880887,17.3,9,31.1
30人以上,TL 調査産業計,平成26,2014,3月,4999688,3110534,1889154,73409,40006,33403,102886,57557,45329,4970211,3092983,1877228,17.6,8.9,32
30人以上,TL 調査産業計,平成26,2014,4月,4970211,3098192,1872019,302642,173436,129206,190017,116937,73080,5082836,3154691,1928145,17.2,8.7,31
30人以上,TL 調査産業計,平成26,2014,5月,5087040,3153902,1933138,101902,50406,51496,89684,49914,39770,5099258,3154394,1944864,17.5,9,31.3
30人以上,TL 調査産業計,平成26,2014,6月,5097843,3156636,1941207,77917,44225,33692,87701,52532,35169,5088059,3148329,1939730,17.6,9.1,31.3
30人以上,TL 調査産業計,平成26,2014,7月,5089474,3152087,1937387,90830,53160,37670,92531,57363,35168,5087773,3147884,1939889,17.5,8.9,31.5
30人以上,TL 調査産業計,平成26,2014,8月,5081659,3129733,1951926,64605,32791,31814,80294,43092,37202,5065970,3119432,1946538,17.5,8.9,31.3
30人以上,TL 調査産業計,平成26,2014,9月,5072084,3120731,1951353,61589,29080,32509,73154,35663,37491,5060519,3114148,1946371,17.6,9,31.4
30人以上,TL 調査産業計,平成26,2014,10月,5059088,3114102,1944986,102880,58062,44818,91229,52675,38554,5070739,3119489,1951250,17.8,9.4,31.4
30人以上,TL 調査産業計,平成26,2014,11月,5072171,3129867,1942304,68081,34647,33434,68759,35222,33537,5071493,3129292,1942201,17.6,9.2,31.3
30人以上,TL 調査産業計,平成26,2014,12月,5071493,3132569,1938924,68502,32694,35808,62417,32933,29484,5077578,3132330,1945248,17.9,9.4,31.6
30人以上,C 鉱業，採石業，砂利採取業,平成18,2006,年平均,2162,1772,390,40,35,5,38,33,5,2164,1774,390,0,0,0.3
30人以上,C 鉱業，採石業，砂利採取業,平成19,2007,年平均,2137,1745,393,31,28,3,37,32,5,2131,1741,391,1.9,0.1,9.7
30人以上,C 鉱業，採石業，砂利採取業,平成20,2008,年平均,2101,1738,363,32,29,3,24,21,3,2109,1746,363,1.8,0.1,9.9
30人以上,C 鉱業，採石業，砂利採取業,平成21,2009,年平均,2029,1595,434,37,32,5,33,30,3,2033,1597,436,0.5,0.5,0.5
30人以上,C 鉱業，採石業，砂利採取業,平成22,2010,年平均,2099,1650,449,42,37,5,34,31,3,2107,1656,451,0.3,0.2,0.4
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2217,1732,485,37,30,7,29,25,4,2225,1737,488,0.4,0.5,0.1
