規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,548495,498166,452760,45406,50329,121194,119937,112397,7540,1257
100～499人,415194,400624,365540,35084,14570,121643,120506,113756,6750,1137
100人以上,479371,447585,407531,40054,31786,121479,120298,113260,7038,1181
30～99人,363031,354294,328694,25600,8737,105781,105099,101761,3338,682
５～29人,356176,340266,324604,15662,15910,93300,92599,87907,4692,701
30人以上,442367,417912,382456,35456,24455,114420,113464,108089,5375,956
５人以上,420860,398537,368020,30517,22323,104330,103495,98447,5048,835
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２６年５月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
